row_label_raw,row_label_full,Ngoại tệ,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
,,,VND,VND,,
USD,USD,USD,"24.260,00","23.573,00",24260.0,23573.0
EUR,EUR,EUR,"26.789,00","25.231,00",26789.0,25231.0
JPY,JPY,JPY,"172,14","179,58",172.14,179.58
AUD,AUD,AUD,"16.553,00","16.049,00",16553.0,16049.0
SGD,SGD,SGD,"18.386,00","17.586,00",18386.0,17586.0
GBP,GBP,GBP,"30.903,00","28.496,00",30903.0,28496.0
CNY,CNY,CNY,"3.429,00","3.404,00",3429.0,3404.0
CAD,CAD,CAD,"18.317,00","17.376,00",18317.0,17376.0
HKD,HKD,HKD,"3.108,00","3.015,00",3108.0,3015.0
CHF,CHF,CHF,"28.848,00","25.465,00",28848.0,25465.0
DKK,DKK,DKK,"3.593,00","3.390,00",3593.0,3390.0
KRW,KRW,KRW,"18,88","18,75",18.88,18.75
THB,THB,THB,"706,00","682,00",706.0,682.0
