row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Tài sản cố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Tài sản cố định khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,97.104.899.405,109.300.650.011,77.303.958.247,10.740.803.240,294.450.310.903,97104899405.0,109300650011.0,77303958247.0,10740803240.0,294450310903.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,125.141.500,18.828.264.144,2.675.678.585,44.467.488,21.673.551.717,125141500.0,18828264144.0,2675678585.0,44467488.0,21673551717.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(8.050.221.999),(550.180.108),(122.263.171),(8.722.665.278),,-8050221999.0,-550180108.0,-122263171.0,-8722665278.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,97.230.040.905,120.078.692.156,79.429.456.724,10.663.007.557,307.401.197.342,97230040905.0,120078692156.0,79429456724.0,10663007557.0,307401197342.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,49.169.559.524,96.249.375.241,69.673.051.783,6.846.679.379,221.938.665.927,49169559524.0,96249375241.0,69673051783.0,6846679379.0,221938665927.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,5.240.968.180,6.662.393.019,3.652.765.722,1.057.235.507,16.613.362.428,5240968180.0,6662393019.0,3652765722.0,1057235507.0,16613362428.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(8.050.221.999),(550.180.108),(122.263.171),(8.722.665.278),,-8050221999.0,-550180108.0,-122263171.0,-8722665278.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,54.410.527.704,94.861.546.261,72.775.637.397,7.781.651.715,229.829.363.077,54410527704.0,94861546261.0,72775637397.0,7781651715.0,229829363077.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,47.935.339.881,13.051.274.770,7.630.906.464,3.894.123.861,72.511.644.976,47935339881.0,13051274770.0,7630906464.0,3894123861.0,72511644976.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,42.819.513.201,25.217.145.895,6.653.819.327,2.881.355.842,77.571.834.265,42819513201.0,25217145895.0,6653819327.0,2881355842.0,77571834265.0
