row_label_raw,row_label_full,col_0,Vốn góp/Vốn điều lệ,Thặng dư vốn cổ phần,Vốn chủ sở hữu khác,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn chủ sở hữu khác,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.399.600.430.000,98.600.000,13.470.351,292.747.266.939,82.190.648.353,1.487.255.797.832,7.261.906.213.475,5399600430000.0,98600000.0,13470351.0,292747266939.0,82190648353.0,1487255797832.0,7261906213475.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,89.062.782.966,44.531.391.483,744.093.651.874,877.687.826.323,,,,89062782966.0,44531391483.0,744093651874.0,877687826323.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,744.093.651.874,744.093.651.874,,,,,,744093651874.0,744093651874.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,89.062.782.966,44.531.391.483,-,133.594.174.449,,,,89062782966.0,44531391483.0,,133594174449.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,,,,,,,
Giảm trong năm,Tăng khác > Giảm trong năm,Giảm trong năm,-,-,-,-,-,(142.500.452.746),(142.500.452.746),,,,,,-142500452746.0,-142500452746.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Tăng khác > Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,-,-,(142.500.452.746),(142.500.452.746),,,,,,-142500452746.0,-142500452746.0
Số dư cuối năm,Tăng khác > Số dư cuối năm,Số dư cuối năm,5.399.600.430.000,98.600.000,13.470.351,381.810.049.905,126.722.039.836,2.088.848.996.960,7.997.093.587.052,5399600430000.0,98600000.0,13470351.0,381810049905.0,126722039836.0,2088848996960.0,7997093587052.0
"(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:","(i) Theo Nghị quyết Đại hội đồng cổ đông số 02/2023/NQ-DHDCD ngày 28/04/2023, Ngân hàng thực hiện phân phối lợi nhuận năm 2022 như sau:",,,,,,,
,,,,,,Tỷ lệ,Số tiền,,,,,,,,,
,,,,,,%,VND,,,,,,,,,
