row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không chịu lãi,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,
"I Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I Tiền mặt, vàng bạc, đá quý","I Tiền mặt, vàng bạc, đá quý",-,361.840,-,-,-,-,-,-,361.840,,361840.0,,,,,,,361840.0
II Tiền gửi tại NHNN,TÀI SẢN > II Tiền gửi tại NHNN,II Tiền gửi tại NHNN,-,-,2.149.614,-,-,-,-,-,2.149.614,,,2149614.0,,,,,,2149614.0
III Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III Tiền gửi và cho vay các TCTD khác (*),III Tiền gửi và cho vay các TCTD khác (*),-,-,12.882.245,5.700.000,3.300.000,100.000,-,-,21.982.245,,,12882245.0,5700000.0,3300000.0,100000.0,,,21982245.0
VI Cho vay khách hàng (*),TÀI SẢN > VI Cho vay khách hàng (*),VI Cho vay khách hàng (*),1.428.358,-,7.905.201,14.023.624,45.700.359,684,815,-,69.059.041,1428358.0,,7905201.0,14023624.0,45700359.0,684.0,815.0,,69059041.0
VIII Chứng khoán đầu tư (*),TÀI SẢN > VIII Chứng khoán đầu tư (*),VIII Chứng khoán đầu tư (*),-,184.471,200.000,550.000,499.487,399.687,51.694,5.546.072,7.431.411,,184471.0,200000.0,550000.0,499487.0,399687.0,51694.0,5546072.0,7431411.0
"IX Góp vốn, đầu tư dài hạn (*)","TÀI SẢN > IX Góp vốn, đầu tư dài hạn (*)","IX Góp vốn, đầu tư dài hạn (*)",-,82.610,-,-,-,-,-,-,82.610,,82610.0,,,,,,,82610.0
X Tài sản cố định,TÀI SẢN > X Tài sản cố định,X Tài sản cố định,-,243.921,-,-,-,-,-,-,243.921,,243921.0,,,,,,,243921.0
XI Tài sản có khác (*),TÀI SẢN > XI Tài sản có khác (*),XI Tài sản có khác (*),-,11.910.626,-,-,-,-,-,-,11.910.626,,11910626.0,,,,,,,11910626.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,1.428.358,12.783.468,23.137.060,20.273.624,49.499.846,500.371,52.509,5.546.072,113.221.308,1428358.0,12783468.0,23137060.0,20273624.0,49499846.0,500371.0,52509.0,5546072.0,113221308.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > I Tiền gửi và vay các TCTD khác,I Tiền gửi và vay các TCTD khác,-,-,12.715.029,1.150.000,19.089,-,-,-,13.884.118,,,12715029.0,1150000.0,19089.0,,,,13884118.0
II Tiền gửi của khách hàng,NỘ PHẢI TRẢ > II Tiền gửi của khách hàng,II Tiền gửi của khách hàng,-,-,21.327.584,21.775.181,31.827.802,9.876.128,1.888.173,-,86.694.868,,,21327584.0,21775181.0,31827802.0,9876128.0,1888173.0,,86694868.0
III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,17.041,-,-,-,-,-,17.041,,,17041.0,,,,,,17041.0
V Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > V Phát hành giấy tờ có giá,V Phát hành giấy tờ có giá,-,-,-,-,100.000,386.000,-,-,486.000,,,,,100000.0,386000.0,,,486000.0
VI Các khoản nợ khác,NỘ PHẢI TRẢ > VI Các khoản nợ khác,VI Các khoản nợ khác,-,3.116.742,-,-,-,-,-,-,3.116.742,,3116742.0,,,,,,,3116742.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,-,3.116.742,34.059.654,22.925.181,31.946.891,10.262.128,1.888.173,-,104.198.770,,3116742.0,34059654.0,22925181.0,31946891.0,10262128.0,1888173.0,,104198770.0
