row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm 2023 > VND,Năm 2022 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm 2023 > VND,numeric__Năm 2022 > VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,8.851.558.403.243,5.797.025.825.345,,22.0,8851558403243.0,5797025825345.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(7.042.014.774.515),(4.307.488.902.233),,23.0,-7042014774515.0,-4307488902233.0
I,I,I,Thu nhập lãi thuần,,1.809.543.628.728,1.489.536.923.112,,,1809543628728.0,1489536923112.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,109.798.140.530,105.667.054.937,,,109798140530.0,105667054937.0
4,4,4,Chi phí hoạt động dịch vụ,,(33.212.065.290),(32.868.075.170),,,-33212065290.0,-32868075170.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,24,76.586.075.240,72.798.979.767,,24.0,76586075240.0,72798979767.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,25,6.212.137.331,9.723.645.239,,25.0,6212137331.0,9723645239.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,26,-,(181.588.855),,26.0,,-181588855.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,410.371.349.493,42.272.592.637,,27.0,410371349493.0,42272592637.0
5,5,5,Thu nhập từ hoạt động khác,,208.032.038.500,364.793.373.036,,,208032038500.0,364793373036.0
6,6,6,Chi phí hoạt động khác,,(8.833.506.897),(6.776.713.663),,,-8833506897.0,-6776713663.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,199.198.531.603,358.016.659.373,,28.0,199198531603.0,358016659373.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,11.097.918.768,13.581.765.912,,29.0,11097918768.0,13581765912.0
VIII,VIII,VIII,Chi phí hoạt động,30,(909.264.656.851),(816.418.234.131),,30.0,-909264656851.0,-816418234131.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.603.744.984.312,1.169.330.743.054,,,1603744984312.0,1169330743054.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(686.831.625.146),(61.492.728.801),,31.0,-686831625146.0,-61492728801.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,916.913.359.166,1.107.838.014.253,,,916913359166.0,1107838014253.0
7,7,7,Chi phí thuế TNDN hiện hành,32,(178.527.701.333),(219.502.190.550),,32.0,-178527701333.0,-219502190550.0
8,8,8,Chi phí thuế TNDN hoãn lại,33,5.707.994.041,2.292.005.959,,33.0,5707994041.0,2292005959.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,,(172.819.707.292),(217.210.184.591),,,-172819707292.0,-217210184591.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,744.093.651.874,890.627.829.662,,,744093651874.0,890627829662.0
XV,XV,XV,Lãi cơ bản trên cổ phiếu (VND),34,1.378,1.649,,34.0,1378.0,1649.0
