row_label_raw,row_label_full,Chỉ tiêu,31/12/2014,Phát sinh trong năm > Số phải thu/nộp,Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,31/12/2015,numeric__31/12/2014,numeric__Phát sinh trong năm > Số phải thu/nộp,numeric__Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.849.208.779,-,2.405.115.989,9.444.092.790,11849208779.0,,2405115989.0,9444092790.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,64.413.084,183.361.722,202.359.199,45.415.607,64413084.0,183361722.0,202359199.0,45415607.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,11.913.621.863,183.361.722,2.607.475.188,9.489.508.397,11913621863.0,183361722.0,2607475188.0,9489508397.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,9.421.192.756,267.433.509.154,267.591.642.055,9.263.059.855,9421192756.0,267433509154.0,267591642055.0,9263059855.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,9.387.785.803,126.946.354.496,127.071.080.444,9.263.059.855,9387785803.0,126946354496.0,127071080444.0,9263059855.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,33.406.953,140.487.154.658,140.520.561.611,-,33406953.0,140487154658.0,140520561611.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",226.000,14.741.553.099,14.741.494.312,284.787,226000.0,14741553099.0,14741494312.0,284787.0
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,30.340.736.132,157.711.302.837,129.039.250.275,59.012.788.694,30340736132.0,157711302837.0,129039250275.0,59012788694.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,1.271.939.360,24.731.969.278,23.739.999.266,2.263.909.372,1271939360.0,24731969278.0,23739999266.0,2263909372.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,117.500.000,117.500.000,-,,117500000.0,117500000.0,
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.248.292.550,23.159.832.571,22.180.713.704,2.227.411.417,1248292550.0,23159832571.0,22180713704.0,2227411417.0
Thuế khác,b) Các khoản phải trả > Thuế khác,Thuế khác,23.646.810,1.281.577.496,1.268.726.351,36.497.955,23646810.0,1281577496.0,1268726351.0,36497955.0
Thu điều tiết,b) Các khoản phải trả > Thu điều tiết,Thu điều tiết,-,3.986.545,3.986.545,-,,3986545.0,3986545.0,
Nộp khác,b) Các khoản phải trả > Nộp khác,Nộp khác,-,169.072.666,169.072.666,-,,169072666.0,169072666.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,41.034.094.248,464.618.334.368,435.112.385.908,70.540.042.708,41034094248.0,464618334368.0,435112385908.0,70540042708.0
