row_label_raw,row_label_full,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2014(Trình bày lại)
VND,VND,VND,VND,
44.349.427.912,VND > 44.349.427.912,44.349.427.912,40.779.985.412,40779985412.0
100.915.874.161,VND > 100.915.874.161,100.915.874.161,104.411.256.427,104411256427.0
36.534.165.988,VND > 36.534.165.988,36.534.165.988,38.692.302.064,38692302064.0
181.799.468.061,VND > 181.799.468.061,181.799.468.061,183.883.543.903,183883543903.0
