row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,70.276.913.411,2.606.550.455.343,40.501.893.816,692.229.470.623,27.296.707.856,3.436.855.441.049,70276913411.0,2606550455343.0,40501893816.0,692229470623.0,27296707856.0,3436855441049.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,297.559.000,1.390.019.230.414,2.256.921.819,7.351.874.189,56.224.794.611,1.456.150.380.033,297559000.0,1390019230414.0,2256921819.0,7351874189.0,56224794611.0,1456150380033.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,-,1.378.164.858.325,2.256.921.819,7.106.575.775,56.224.794.611,1.443.753.150.530,,1378164858325.0,2256921819.0,7106575775.0,56224794611.0,1443753150530.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,10.751.267.443,-,-,-,10.751.267.443,,10751267443.0,,,,10751267443.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,297.559.000,-,-,(297.559.000),-,-,297559000.0,,,-297559000.0,,
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,1.103.104.646,-,542.857.414,-,1.645.962.060,,1103104646.0,,542857414.0,,1645962060.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,4.996.376.409,573.918.727,-,-,5.570.295.136,,4996376409.0,573918727.0,,,5570295136.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,4.996.376.409,573.918.727,-,-,5.570.295.136,,4996376409.0,573918727.0,,,5570295136.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,70.574.472.411,3.991.573.309.348,42.184.896.908,699.581.344.812,83.521.502.467,4.887.435.525.946,70574472411.0,3991573309348.0,42184896908.0,699581344812.0,83521502467.0,4887435525946.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
