row_label_raw,row_label_full,Chỉ tiêu,31/12/2014 > Giá trị > VND,31/12/2014 > Số có khả năng trả nợ > VND,Phát sinh trong năm > Tăng > VND,Phát sinh trong năm > Giảm > VND,31/12/2015 > Giá trị > VND,31/12/2015 > Số có khả năng trả nợ > VND,numeric__31/12/2014 > Giá trị > VND,numeric__31/12/2014 > Số có khả năng trả nợ > VND,numeric__Phát sinh trong năm > Tăng > VND,numeric__Phát sinh trong năm > Giảm > VND,numeric__31/12/2015 > Giá trị > VND,numeric__31/12/2015 > Số có khả năng trả nợ > VND
Vay ngắn hạn (VND),Vay ngắn hạn (VND),Vay ngắn hạn (VND),698.800.278.325,698.800.278.325,2.969.867.077.687,2.074.834.677.138,1.593.832.678.874,1.593.832.678.874,698800278325.0,698800278325.0,2969867077687.0,2074834677138.0,1593832678874.0,1593832678874.0
Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),Nợ dài hạn đến hạn trả(xem Thuyết minh số 16),-,-,66.844.455.182,-,66.844.455.182,66.844.455.182,,,66844455182.0,,66844455182.0,66844455182.0
Cộng,Cộng,Cộng,698.800.278.325,698.800.278.325,3.036.711.532.869,2.074.834.677.138,1.660.677.134.056,1.660.677.134.056,698800278325.0,698800278325.0,3036711532869.0,2074834677138.0,1660677134056.0,1660677134056.0
