row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014 Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Phân loại lại
A. TÀI SẢN NGẤN HẠN,A. TÀI SẢN NGẤN HẠN,A. TÀI SẢN NGẤN HẠN,100,,3.538.555.100.831,2.171.639.735.704,100.0,,3538555100831.0,2171639735704.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,282.027.493.486,780.430.373.632,110.0,5.0,282027493486.0,780430373632.0
1. Tiền,1. Tiền,1. Tiền,111,,40.874.417.168,31.246.542.477,111.0,,40874417168.0,31246542477.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,241.153.076.318,749.183.831.155,112.0,,241153076318.0,749183831155.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.028.368.640.271,1.688.968.435,120.0,6.0,1028368640271.0,1688968435.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,1.028.368.640.271,1.688.968.435,123.0,,1028368640271.0,1688968435.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,998.009.596.472,609.567.927.520,130.0,,998009596472.0,609567927520.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,1.136.899.371.137,725.807.208.786,131.0,,1136899371137.0,725807208786.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,28.431.272.232,27.612.120.920,132.0,,28431272232.0,27612120920.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,,23.324.272.650,12.240.544.293,136.0,,23324272650.0,12240544293.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(190.645.319.547),(156.091.946.479),137.0,,-190645319547.0,-156091946479.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,473.753.502.668,257.514.756.093,140.0,8.0,473753502668.0,257514756093.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,473.753.502.668,257.514.756.093,141.0,,473753502668.0,257514756093.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,756.395.867.934,522.437.710.024,150.0,,756395867934.0,522437710024.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,685.420.273.936,461.607.869.125,151.0,9.0,685420273936.0,461607869125.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,61.486.085.601,48.916.219.036,152.0,,61486085601.0,48916219036.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,10,9.489.508.397,11.913.621.863,153.0,10.0,9489508397.0,11913621863.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.822.051.148.472,2.534.779.220.097,200.0,,3822051148472.0,2534779220097.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,2.981.643.243,2.704.508.184,210.0,,2981643243.0,2704508184.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,,2.981.643.243,2.704.508.184,216.0,,2981643243.0,2704508184.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,2.925.749.763.381,1.970.613.781.858,220.0,,2925749763381.0,1970613781858.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,2.767.996.457.250,1.808.177.697.577,221.0,11.0,2767996457250.0,1808177697577.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,4.887.435.525.946,3.436.855.441.049,222.0,,4887435525946.0,3436855441049.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.119.439.068.696),(1.628.677.743.472),223.0,,-2119439068696.0,-1628677743472.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,12,157.753.306.131,162.436.084.281,227.0,12.0,157753306131.0,162436084281.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,259.482.375.411,246.617.257.946,228.0,,259482375411.0,246617257946.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(101.729.069.280),(84.181.173.665),229.0,,-101729069280.0,-84181173665.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,217.795.128.330,180.863.190.313,240.0,,217795128330.0,180863190313.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,13,217.795.128.330,180.863.190.313,242.0,13.0,217795128330.0,180863190313.0
IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,250,6,190.161.150.175,193.763.193.007,250.0,6.0,190161150175.0,193763193007.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,194.459.441.356,194.459.441.356,251.0,,194459441356.0,194459441356.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,6.000.000.000,6.000.000.000,253.0,,6000000000.0,6000000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(10.298.291.181),(6.696.248.349),254.0,,-10298291181.0,-6696248349.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,485.363.463.343,186.834.546.735,260.0,,485363463343.0,186834546735.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,9,335.391.459.935,107.537.960.721,261.0,9.0,335391459935.0,107537960721.0
