row_label_raw,row_label_full,CHỈ TIÊU,Mã số,2015,2014Trình bày lại,numeric__Mã số,numeric__2015,numeric__2014Trình bày lại
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,870.872.364.715,814.797.458.914,1.0,870872364715.0,814797458914.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,
Khấu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,514.019.314.099,368.743.398.741,2.0,514019314099.0,368743398741.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,38.155.415.900,32.363.674.157,3.0,38155415900.0,32363674157.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,975.067.996,(3.836.077),4.0,975067996.0,-3836077.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(264.416.818.165),(164.561.611.853),5.0,-264416818165.0,-164561611853.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,66.726.228.145,14.970.850.358,6.0,66726228145.0,14970850358.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,1.226.331.572.690,1.066.309.934.240,8.0,1226331572690.0,1066309934240.0
Thay đổi các khoản phải thu,2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(216.107.213.119),8.503.245.194,9.0,-216107213119.0,8503245194.0
