row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 31/12/2014VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 31/12/2014VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,282.027.493.486,780.430.373.632,282027493486.0,780430373632.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.028.368.640.271,1.688.968.435,1028368640271.0,1688968435.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,964.804.671.145,577.748.079.416,964804671145.0,577748079416.0
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,190.161.150.175,193.763.193.007,190161150175.0,193763193007.0
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,2.981.643.243,2.704.508.184,2981643243.0,2704508184.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.468.343.598.320,1.556.335.122.674,2468343598320.0,1556335122674.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.105.322.715.562,698.800.278.325,2105322715562.0,698800278325.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.349.541.349.521,861.752.363.692,1349541349521.0,861752363692.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,251.422.070.956,272.165.224.565,251422070956.0,272165224565.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,364.134.497,57.920.000,364134497.0,57920000.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.706.650.270.536,1.832.775.786.582,3706650270536.0,1832775786582.0
