row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữuvà quyền biểuquyết nấm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữuvà quyền biểuquyết nấm giữ,numeric__Hoạt động chính
Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),Công ty Cổ phần Dịch vụTrực tuyến FPT (FOC),"153 Nguyễn Đình Chiều, phường 6,quận 3, thành phố Hồ Chí Minh","59,12%","Cung cấp dịch vụ Game online,báo điện tử, thanh toán điện tử",,0.5912,
Công ty TNHH MTV Viễnthống FPT Tân Thuận,Công ty TNHH MTV Viễnthống FPT Tân Thuận,Công ty TNHH MTV Viễnthống FPT Tân Thuận,"Lô 37 - 39A, đường số 19, Khu chế xuất Tân Thuận, phường Tân ThuậnĐông, quận 7, thành phố Hồ ChíMinh",100%,Cung cấp dịch vụ internet tốc độcao và các dịch vụ viễn thôngkhác,,1.0,
Công ty TNHH MTV Viễnthống Quốc tế FPT (FTI),Công ty TNHH MTV Viễnthống Quốc tế FPT (FTI),Công ty TNHH MTV Viễnthống Quốc tế FPT (FTI),"Phòng G6, tầng 1, tòa nhà Etown, số2, 364 Cộng Hòa, phường 13, quậnTân Bình, thành phố Hồ Chí Minh",100%,"Cung cấp dịch vụ internet, đại lýcung cấp dịch vụ viễn thông vàcác dịch vụ khác",,1.0,
Công ty TNHH MTV Giảipháp phần mềm doanhnghiệp FPT (FSS),Công ty TNHH MTV Giảipháp phần mềm doanhnghiệp FPT (FSS),Công ty TNHH MTV Giảipháp phần mềm doanhnghiệp FPT (FSS),"153 Nguyễn Đình Chiều, phường 6,quận 3, thành phố Hồ Chí Minh",100%,Sản xuất phần mềm,,1.0,
