row_label_raw,row_label_full,31/12/2014,Dưới 1 năm > VND,Từ 1-5 năm > VND,Tổng > VND,numeric__Dưới 1 năm > VND,numeric__Từ 1-5 năm > VND,numeric__Tổng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,780.430.373.632,-,780.430.373.632,780430373632.0,,780430373632.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.688.968.435,-,1.688.968.435,1688968435.0,,1688968435.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,577.748.079.416,-,577.748.079.416,577748079416.0,,577748079416.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,193.763.193.007,193.763.193.007,,193763193007.0,193763193007.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,2.704.508.184,2.704.508.184,,2704508184.0,2704508184.0
Tổng cộng,Tổng cộng,Tổng cộng,1.359.867.421.483,196.467.701.191,1.556.335.122.674,1359867421483.0,196467701191.0,1556335122674.0
,,,Dưới 1 năm,Từ 1-5 năm,Tổng,,,
,,,VND,VND,VND,,,
Các khoản vay,Các khoản vay,Các khoản vay,698.800.278.325,-,698.800.278.325,698800278325.0,,698800278325.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,861.752.363.692,-,861.752.363.692,861752363692.0,,861752363692.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,272.165.224.565,-,272.165.224.565,272165224565.0,,272165224565.0
Công nợ tài chính khác,Công nợ tài chính khác,Công nợ tài chính khác,-,57.920.000,57.920.000,,57920000.0,57920000.0
Tổng cộng,Tổng cộng,Tổng cộng,1.832.717.866.582,57.920.000,1.832.775.786.582,1832717866582.0,57920000.0,1832775786582.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(472.850.445.099),196.409.781.191,(276.440.663.908),-472850445099.0,196409781191.0,-276440663908.0
