row_label_raw,row_label_full,Theo QD 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD 15/2006/QD-BTC > Mã số,Theo QD 15/2006/QD-BTC > 31/12/2014,Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT 200/2014/TT-BTC > Mã số,Theo TT 200/2014/TT-BTC > 31/12/2014,Thay đổi,numeric__Theo QD 15/2006/QD-BTC > Mã số,numeric__Theo QD 15/2006/QD-BTC > 31/12/2014,numeric__Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT 200/2014/TT-BTC > Mã số,numeric__Theo TT 200/2014/TT-BTC > 31/12/2014,numeric__Thay đổi
BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,BẢNG CÂN ĐỐI KẾ TOÁN,,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,,,I. Tài sản,,,,,,,,,
Các khoản tương đương tiền,I. Tài sản > Các khoản tương đương tiền,Các khoản tương đương tiền,112,742.926.069.590,Các khoản tương đương tiền,112,749.183.831.155,Phân loại lại,112.0,742926069590.0,,112.0,749183831155.0,
Đầu tư ngắn hạn,I. Tài sản > Đầu tư ngắn hạn,Đầu tư ngắn hạn,121,7.946.730.000,Chứng khoán kinh doanh,121,-,Phân loại lại và đổi tên,121.0,7946730000.0,,121.0,,
Không có chỉ tiêu tương ứng,I. Tài sản > Không có chỉ tiêu tương ứng,Không có chỉ tiêu tương ứng,,,- Đầu tư nắm giữ đến ngày đáo hạn,123,1.688.968.435,Phân loại lại và đổi tên,,,,123.0,1688968435.0,
Phải thu khách hàng,I. Tài sản > Phải thu khách hàng,Phải thu khách hàng,131,556.298.685.477,Phải thu ngắn hạn của khách hàng,131,725.807.208.786,Phân loại lại và đổi tên,131.0,556298685477.0,,131.0,725807208786.0,
Phải thu nội bộ,I. Tài sản > Phải thu nội bộ,Phải thu nội bộ,133,169.508.523.309,Phải thu nội bộ ngắn hạn,133,-,Phân loại lại,133.0,169508523309.0,,133.0,,
Các khoản phải thu khác,I. Tài sản > Các khoản phải thu khác,Các khoản phải thu khác,135,10.046.906.193,Phải thu ngắn hạn khác,136,12.240.544.293,"Phân loại lại và đổi tên, mã số",135.0,10046906193.0,,136.0,12240544293.0,
Tài sản ngắn hạn khác,I. Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,158,2.193.638.100,Tài sản ngắn hạn khác,155,-,"Phân loại lại, đổi mã số",158.0,2193638100.0,,155.0,,
Thuế giá trị gia tăng được khấu trừ,I. Tài sản > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,47.792.933.057,Thuế giá trị gia tăng được khấu trừ,152,48.916.219.036,Trình bày lại,152.0,47792933057.0,,152.0,48916219036.0,
Thuế và các khoản khác phải thu Nhà nước,I. Tài sản > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,154,13.036.907.842,Thuế và các khoản khác phải thu Nhà nước,153,11.913.621.863,Đổi mã số và phân loại lại,154.0,13036907842.0,,153.0,11913621863.0,
Tài sản dài hạn khác,I. Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,268,2.704.508.184,Phải thu dài hạn khác,216,2.704.508.184,Phân loại lại và đổi tên,268.0,2704508184.0,,216.0,2704508184.0,
II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,,,II. Nguồn vốn,,,,,,,,,
Phải trả người bán,II. Nguồn vốn > Phải trả người bán,Phải trả người bán,312,675.661.897.007,Phải trả người bán ngắn hạn,311,790.078.925.670,"Đổi tên, đổi mã số",312.0,675661897007.0,,311.0,790078925670.0,
Người mua trả tiền trước,II. Nguồn vốn > Người mua trả tiền trước,Người mua trả tiền trước,313,178.723.751.563,Người mua trả tiền trước ngắn hạn,312,107.381.019.199,"Phân loại lại và đổi tên, mã số",313.0,178723751563.0,,312.0,107381019199.0,
Vay và nợ ngắn hạn,II. Nguồn vốn > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,311,698.800.278.325,Vay và nợ thuê tài chính ngắn hạn,320,698.800.278.325,"Đổi tên, đổi mã số",311.0,698800278325.0,,320.0,698800278325.0,
Phải trả nội bộ,II. Nguồn vốn > Phải trả nội bộ,Phải trả nội bộ,317,114.417.028.663,Phải trả nội bộ ngắn hạn,316,-,Phân loại lại và đổi tên,317.0,114417028663.0,,316.0,,
Doanh thu chưa thực hiện,II. Nguồn vốn > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,338,571.183.283.299,Doanh thu chưa thực hiện ngắn hạn,318,571.183.283.299,"Đổi tên, đổi mã số",338.0,571183283299.0,,318.0,571183283299.0,
"Các khoản phải trả, phải nộp ngắn hạn khác","II. Nguồn vốn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",319,6.660.319.567,Phải trả ngắn hạn khác,319,78.003.051.931,Phân loại lại và đổi tên,319.0,6660319567.0,,319.0,78003051931.0,
Vốn điều lệ,II. Nguồn vốn > Vốn điều lệ,Vốn điều lệ,411,1.246.198.090.000,Vốn góp của chủ sở hữu,411,1.246.198.090.000,Đổi tên,411.0,1246198090000.0,,411.0,1246198090000.0,
