row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,31/12/2014 Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014 Phân loại lại
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,4.959.756.011.621,2.632.980.903.740,300.0,,4959756011621.0,2632980903740.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,4.514.746.295.618,2.632.922.983.740,310.0,,4514746295618.0,2632922983740.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,,1.255.012.162.765,790.078.925.670,311.0,,1255012162765.0,790078925670.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,-,107.381.019.199,312.0,,,107381019199.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,10,70.540.042.708,41.034.094.248,313.0,10.0,70540042708.0,41034094248.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,276.978.849,210.002.874,314.0,,276978849.0,210002874.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,14,251.422.070.956,272.165.224.565,315.0,14.0,251422070956.0,272165224565.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,1.056.281.871.620,571.183.283.299,318.0,,1056281871620.0,571183283299.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,,105.540.969.334,78.003.051.931,319.0,,105540969334.0,78003051931.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,15,1.660.677.134.056,698.800.278.325,320.0,15.0,1660677134056.0,698800278325.0
"9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi","9. Quỹ khen thưởng, phúc lợi",322,17,114.995.065.330,74.067.103.629,322.0,17.0,114995065330.0,74067103629.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,445.009.716.003,57.920.000,330.0,,445009716003.0,57920000.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,,364.134.497,57.920.000,337.0,,364134497.0,57920000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,16,444.645.581.506,-,338.0,16.0,444645581506.0,
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,2.400.850.237.682,2.073.438.052.061,400.0,,2400850237682.0,2073438052061.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,18,2.400.850.237.682,2.073.438.052.061,410.0,18.0,2400850237682.0,2073438052061.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.246.198.090.000,1.246.198.090.000,411.0,,1246198090000.0,1246198090000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.246.198.090.000,1.246.198.090.000,,,1246198090000.0,1246198090000.0
2. Cổ phiếu quỹ,2. Cổ phiếu quỹ,2. Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),415.0,,-300150000.0,-300150000.0
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,,1.154.952.297.682,827.540.112.061,421.0,,1154952297682.0,827540112061.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,453.770.730.061,199.751.067.019,,,453770730061.0,199751067019.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,701.181.567.621,627.789.045.042,,,701181567621.0,627789045042.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.360.606.249.303,4.706.418.955.801,440.0,,7360606249303.0,4706418955801.0
