row_label_raw,row_label_full,col_0,Vốn gópcủa chủ sở hữu,Cổ phiếu quỹ,Lợi nhuận sau thuếchưa phân phối,Tổng,numeric__Vốn gópcủa chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,997.015.350.000,(275.150.000),448.933.807.019,1.445.674.007.019,997015350000.0,-275150000.0,448933807019.0,1445674007019.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,697.435.853.074,697.435.853.074,,,697435853074.0,697435853074.0
Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,-,-,(69.332.364.370),(69.332.364.370),,,-69332364370.0,-69332364370.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,249.182.740.000,-,(249.182.740.000),-,249182740000.0,,-249182740000.0,
Biến động khác,Biến động khác,Biến động khác,-,(25.000.000),(314.443.662),(339.443.662),,-25000000.0,-314443662.0,-339443662.0
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,1.246.198.090.000,(300.150.000),827.540.112.061,2.073.438.052.061,1246198090000.0,-300150000.0,827540112061.0,2073438052061.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,783.836.479.272,783.836.479.272,,,783836479272.0,783836479272.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,(373.769.382.000),(373.769.382.000),,,-373769382000.0,-373769382000.0
Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,Trích lập các quỹ từ lợi nhuận,-,-,(77.904.965.511),(77.904.965.511),,,-77904965511.0,-77904965511.0
Biến động khác,Biến động khác,Biến động khác,-,-,(4.749.946.140),(4.749.946.140),,,-4749946140.0,-4749946140.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,1.246.198.090.000,(300.150.000),1.154.952.297.682,2.400.850.237.682,1246198090000.0,-300150000.0,1154952297682.0,2400850237682.0
