row_label_raw,row_label_full,Họ và tên,Chức danh,Năm nay,Năm trước,numeric__Chức danh,numeric__Năm nay,numeric__Năm trước
,,,,Triệu VND,Triệu VND,,,
HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,,,
Bà Phạm Thị Huyền Trang,HỘI ĐỒNG QUẢN TRỊ > Bà Phạm Thị Huyền Trang,Bà Phạm Thị Huyền Trang,Chủ tịch(từ ngày 04 tháng 12 năm 2025)Thành viên độc lập(từ ngày 29 tháng 04 năm 2025)Phó Chủ tịch thường trực(từ ngày 30 tháng 06 năm 2025 đến 04 tháng 12 năm 2025),2.380,-,,2380.0,
Ông Nguyễn Cành Anh,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Cành Anh,Ông Nguyễn Cành Anh,Thành viên(từ ngày 04 tháng 12 năm 2025)Chủ tịch(dếng ngày 04 tháng 12 năm 2025),3.990,3.307,,3990.0,3307.0
Bà Đỗ Hà Phương,HỘI ĐỒNG QUẢN TRỊ > Bà Đỗ Hà Phương,Bà Đỗ Hà Phương,Thành viên(từ ngày 29 tháng 04 năm 2025)Phó Chủ tịch(dếng ngày 29 tháng 04 năm 2025),3.873,3.409,,3873.0,3409.0
Ông Hoàng Thế Hưng,HỘI ĐỒNG QUẢN TRỊ > Ông Hoàng Thế Hưng,Ông Hoàng Thế Hưng,Thành viên độc lập(từ ngày 29 tháng 04 năm 2025),2.369,-,,2369.0,
Ông Phạm Tuấn Anh,HỘI ĐỒNG QUẢN TRỊ > Ông Phạm Tuấn Anh,Ông Phạm Tuấn Anh,Thành viên(từ ngày 29 tháng 04 năm 2025),2.379,-,,2379.0,
Ông Trần Tấn Lộc,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Phó Chủ tịch(dếng ngày 29 tháng 04 năm 2025),1.500,3.307,,1500.0,3307.0
Ông Trần Anh Thắng,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Anh Thắng,Ông Trần Anh Thắng,Thành viên độc lập (đến ngày 29 tháng 04 năm 2025),1.500,3.307,,1500.0,3307.0
Ông Phạm Quang Dũng,HỘI ĐỒNG QUẢN TRỊ > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Thành viên (đến ngày 29 tháng 04 năm 2025),1.500,3.307,,1500.0,3307.0
Bà Lương Thị Cẩm Tú,HỘI ĐỒNG QUẢN TRỊ > Bà Lương Thị Cẩm Tú,Bà Lương Thị Cẩm Tú,Phó Chủ tịch(từ ngày 26 tháng 04 năm 2024 đến ngày 28 tháng 11 năm 2024)Thành viên(dếng ngày 26 tháng 04 năm 2024),-,2.932,,,2932.0
Ông Nguyễn Hồ Nam,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Hồ Nam,Ông Nguyễn Hồ Nam,Phó Chủ tịch(từ ngày 26 tháng 04 năm 2024 đến ngày 28 tháng 11 năm 2024),-,1.911,,,1911.0
Bà Lê Thị Mai Loan,HỘI ĐỒNG QUẢN TRỊ > Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Thành viên(dếng ngày 26 tháng 04 năm 2024),-,1.021,,,1021.0
