row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nay,Đơn vị: Triệu VND,numeric__CHỈ TIÊU,numeric__Năm nay,numeric__Đơn vị: Triệu VND
,,,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,01.,01.,Mua sắm tài sản cố định,(450.122),(300.236),,-450122.0,-300236.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",45.831,5.091,,45831.0,5091.0
03.,03.,03.,"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",63.190,1.385,,63190.0,1385.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(341.101),(293.760),,-341101.0,-293760.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,01.,01.,Cổ tức trả cho cố đông,-,(522.260),,,-522260.0
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,-,(522.260),,,-522260.0
IV.,IV.,IV.,Lưu chuyển tiền thuần trong năm,13.545.961,(12.046.059),,13545961.0,-12046059.0
V.,V.,V.,Tiền và các khoản tương đương tiền đầu năm,37.296.787,49.342.846,,37296787.0,49342846.0
VI.,VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 35),50.842.748,37.296.787,,50842748.0,37296787.0
