row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Công nợ,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Giá trị thuần,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Công nợ,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo tài chính riêng) > Giá trị thuần
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2025 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,84.080.526,180.652,(53.512),127.140,84080526.0,180652.0,-53512.0,127140.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2025 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,11.321.443,-,(53.512),(53.512),11321443.0,,-53512.0,-53512.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31 tháng 12 năm 2025 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,72.759.083,180.652,-,180.652,72759083.0,180652.0,,180652.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31 tháng 12 năm 2025 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,1.800.419,2.788,-,2.788,1800419.0,2788.0,,2788.0
,,,85.880.945,183.440,(53.512),129.928,85880945.0,183440.0,-53512.0,129928.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,59.603.536,318.435,(14.664),303.771,59603536.0,318435.0,-14664.0,303771.0
- Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > - Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,13.269.073,-,(14.664),(14.664),13269073.0,,-14664.0,-14664.0
- Giao dịch hoán đối tiền tệ,Tại ngày 31 tháng 12 năm 2024 > - Giao dịch hoán đối tiền tệ,- Giao dịch hoán đối tiền tệ,46.334.463,318.435,-,318.435,46334463.0,318435.0,,318435.0
Công cụ tài chính phải sinh lãi suất,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh lãi suất,Công cụ tài chính phải sinh lãi suất,1.892.313,-,(11.885),(11.885),1892313.0,,-11885.0,-11885.0
,,,61.495.849,318.435,(26.549),291.886,61495849.0,318435.0,-26549.0,291886.0
