row_label_raw,row_label_full,col_0,Số cuối năm > Triệu VND,Số cuối năm > Số đầu nămTriệu VND,numeric__Số cuối năm > Triệu VND,numeric__Số cuối năm > Số đầu nămTriệu VND
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,
Tiền gửi thanh toán của cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tiền gửi thanh toán của cổ đông lớn,Tiền gửi thanh toán của cổ đông lớn,704.289,6,704289.0,6.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Tiền gửi của khách hàng,Công ty con > Tiền gửi của khách hàng,Tiền gửi của khách hàng,313.320,373.618,313320.0,373618.0
Lãi phải trả tiền gửi,Công ty con > Lãi phải trả tiền gửi,Lãi phải trả tiền gửi,4.103,630,4103.0,630.0
"Góp vốn, đầu tư dài hạn","Công ty con > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",300.000,300.000,300000.0,300000.0
"Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này","Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này","Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này","Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này","Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này",,
Tiền gửi của khách hàng,"Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này > Tiền gửi của khách hàng",Tiền gửi của khách hàng,56.610,51.288,56610.0,51288.0
Lãi phải trả tiền gửi,"Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này > Lãi phải trả tiền gửi",Lãi phải trả tiền gửi,1.484,919,1484.0,919.0
Cho vay khách hàng - thẻ tín dụng,"Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này > Cho vay khách hàng - thẻ tín dụng",Cho vay khách hàng - thẻ tín dụng,1.942,2.123,1942.0,2123.0
Lãi phải thu cho vay - thẻ tín dụng,"Thành viên Hội đồng quản trị, Ban kiểm soát, Ban Tổng Giám đốc và các bên liên quan với các cá nhân này > Lãi phải thu cho vay - thẻ tín dụng",Lãi phải thu cho vay - thẻ tín dụng,32,5,32.0,5.0
