row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ NHNN,17,4.389.250,2.079.510,,17.0,4389250.0,2079510.0
1.,B. > 1.,1.,Vay NHNN,,4.389.250,2.079.510,,,4389250.0,2079510.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,40.908.083,29.670.330,,18.0,40908083.0,29670330.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,18.1,30.835.216,22.067.863,,181.0,30835216.0,22067863.0
2.,B. > 2.,2.,Vay các TCTD khác,18.2,10.072.867,7.602.467,,182.0,10072867.0,7602467.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,177.617.197,167.821.263,,19.0,177617197.0,167821263.0
IV.,B. > IV.,IV.,Phát hành giấy tờ có giá,21,20.067.657,10.864.503,,21.0,20067657.0,10864503.0
V.,B. > V.,V.,Các khoản nợ khác,,4.571.524,4.576.079,,,4571524.0,4576079.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,2.948.041,2.119.982,,,2948041.0,2119982.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,22,1.623.483,2.456.097,,22.0,1623483.0,2456097.0
,,,TỔNG NỘ PHẢI TRẢ,,247.553.711,215.011.685,,,247553711.0,215011685.0
VI.,B. > VI.,VI.,Vốn và các quỹ,24,25.970.130,25.013.131,,24.0,25970130.0,25013131.0
1.,B. > 1.,1.,Vốn của TCTD,,18.781.551,18.781.551,,,18781551.0,18781551.0
a.,B. > a.,a.,Vốn điều lệ,,18.688.106,18.688.106,,,18688106.0,18688106.0
b.,B. > b.,b.,Vốn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c.,B. > c.,c.,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d.,B. > d.,d.,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2.,B. > 2.,2.,Quỹ của TCTD,,3.763.019,3.537.491,,,3763019.0,3537491.0
3.,B. > 3.,3.,Lợi nhuận chưa phân phối,,3.425.560,2.694.089,,,3425560.0,2694089.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,273.523.841,240.024.816,,,273523841.0,240024816.0
