row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phuốngtiện vận tảivà thiết bịtruyền dẫn,Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phuốngtiện vận tảivà thiết bịtruyền dẫn,numeric__Thiết bịdụng cụquản lý vàTSCĐ hữuhình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,457.620,1.089.007,418.629,604.124,2.569.380,457620.0,1089007.0,418629.0,604124.0,2569380.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.887,99.345,36.600,130.471,282.303,15887.0,99345.0,36600.0,130471.0,282303.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.546),(118.068),(18.833),(139.447),,-2546.0,-118068.0,-18833.0,-139447.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,839,(12.534),(2.118),13.813,-,839.0,-12534.0,-2118.0,13813.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,474.346,1.173.272,335.043,729.575,2.712.236,474346.0,1173272.0,335043.0,729575.0,2712236.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,115.397,767.482,205.133,373.476,1.461.488,115397.0,767482.0,205133.0,373476.0,1461488.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.098,77.311,49.139,80.661,219.209,12098.0,77311.0,49139.0,80661.0,219209.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.546),(83.915),(17.387),(103.848),,-2546.0,-83915.0,-17387.0,-103848.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,865,(12.460),(2.118),13.713,-,865.0,-12460.0,-2118.0,13713.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,128.360,829.787,168.239,450.463,1.576.849,128360.0,829787.0,168239.0,450463.0,1576849.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,342.223,321.525,213.496,230.648,1.107.892,342223.0,321525.0,213496.0,230648.0,1107892.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,345.986,343.485,166.804,279.112,1.135.387,345986.0,343485.0,166804.0,279112.0,1135387.0
