row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ dự phòng tài chính,Quỹ đầu tư phát triển,Vốn đầu tư xây dựng cơ bản,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ dự phòng tài chính,numeric__Quỹ đầu tư phát triển,numeric__Vốn đầu tư xây dựng cơ bản,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Triệu VND 17.469.561,Triệu VND 156.322,Triệu VND (78.273),Triệu VND 973.551,Triệu VND 1.904.913,Triệu VND 326,Triệu VND 15.396,Triệu VND 1.949.545,Triệu VND 22.391.341,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,,,,,,,,,
Phát hành cổ phiếu để trả cổ tức,Số dư đầu năm trước > Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,1.218.545,-,-,-,-,-,-,(1.218.545),-,1218545.0,,,,,,,-1218545.0,
Chi trả cổ tức bằng tiền,Số dư đầu năm trước > Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,-,-,-,-,-,-,-,(522.260),(522.260),,,,,,,,-522260.0,-522260.0
Lợi nhuận sau thuế trong năm,Số dư đầu năm trước > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,3.294.187,3.294.187,,,,,,,,3294187.0,3294187.0
Trích lập các quỹ trong năm,Số dư đầu năm trước > Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,329.419,329.419,-,-,(658.838),-,,,,329419.0,329419.0,,,-658838.0,
"Trích quỹ khen thưởng, phúc lợi","Số dư đầu năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(150.000),(150.000),,,,,,,,-150000.0,-150000.0
Sử dụng quỹ trong năm,Số dư đầu năm trước > Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(137),-,-,-,(137),,,,,-137.0,,,,-137.0
Số dư đầu năm nay,Số dư đầu năm trước > Số dư đầu năm nay,Số dư đầu năm nay,18.688.106,156.322,(78.273),1.302.970,2.234.195,326,15.396,2.694.089,25.013.131,18688106.0,156322.0,-78273.0,1302970.0,2234195.0,326.0,15396.0,2694089.0,25013131.0
Lợi nhuận sau thuế trong năm,Số dư đầu năm trước > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,1.187.001,1.187.001,,,,,,,,1187001.0,1187001.0
Trích lập các quỹ trong năm,Số dư đầu năm trước > Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,118.700,106.830,-,-,(225.530),-,,,,118700.0,106830.0,,,-225530.0,
"Trích quỹ khen thưởng, phúc lợi (*)","Số dư đầu năm trước > Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,-,-,-,-,(230.000),(230.000),,,,,,,,-230000.0,-230000.0
Sử dụng quỹ trong năm,Số dư đầu năm trước > Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(2),-,-,-,(2),,,,,-2.0,,,,-2.0
Số dư cuối năm nay,Số dư đầu năm trước > Số dư cuối năm nay,Số dư cuối năm nay,18.688.106,156.322,(78.273),1.421.670,2.341.023,326,15.396,3.425.560,25.970.130,18688106.0,156322.0,-78273.0,1421670.0,2341023.0,326.0,15396.0,3425560.0,25970130.0
