row_label_raw,row_label_full,Họ và tên,Chức danh,Năm nay,Năm trước,numeric__Chức danh,numeric__Năm nay,numeric__Năm trước
,,,,Triệu VND,Triệu VND,,,
BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG,,,
Ông Trần Tấn Lộc,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Trần Tấn Lộc,Ông Trần Tấn Lộc,Quyền Tổng Giám đốc(từ ngày 01 tháng 7 năm 2025)Phó Tổng Giám đốc(từ ngày 16 tháng 05 năm 2025 đến ngày 30 tháng 06 năm 2025),2.297,-,,2297.0,
Ông Đào Hồng Châu,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Đào Hồng Châu,Ông Đào Hồng Châu,Phó Tổng Giám đốc,4.135,3.517,,4135.0,3517.0
Ông Nguyễn Hồ Hoàng Vũ,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Hồ Hoàng Vũ,Ông Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốc kiểm Giám đốc tài chính,4.320,2.700,,4320.0,2700.0
Ông Nguyễn Huống Minh,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Huống Minh,Ông Nguyễn Huống Minh,Phó Tổng Giám đốc,4.387,3.652,,4387.0,3652.0
Ông Nguyễn Văn Hòa,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Văn Hòa,Ông Nguyễn Văn Hòa,Phó Tổng Giám đốc(từ ngày 01 tháng 07 năm 2025),1.414,-,,1414.0,
Ông Trần Anh Thắng,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Trần Anh Thắng,Ông Trần Anh Thắng,Phó Tổng Giám đốc(từ ngày 08 tháng 05 năm 2025 đến ngày 04 tháng 12 năm 2025),2.146,-,,2146.0,
Ông Phạm Quang Dũng,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Phạm Quang Dũng,Ông Phạm Quang Dũng,Phó Tổng Giám đốc(từ ngày 08 tháng 05 năm 2025),2.390,-,,2390.0,
Ông Nguyễn Hoàng Hải,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Hoàng Hải,Ông Nguyễn Hoàng Hải,Quyền Tổng Giám đốc(dếng ngày 01 tháng 07 năm 2025),4.751,4.592,,4751.0,4592.0
Ông Lã Quang Trung,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Lã Quang Trung,Ông Lã Quang Trung,Kế toán trưởng,1.730,1.317,,1730.0,1317.0
Bà Lê Thị Mai Loan,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Bà Lê Thị Mai Loan,Bà Lê Thị Mai Loan,Phó Tổng Giám đốc(dếng ngày 10 tháng 01 năm 2025),-,1.663,,,1663.0
Ông Phạm Đăng Khoa,BAN TỔNG GIÁM ĐỐC VÀ KẾ TOÁN TRƯỜNG > Ông Phạm Đăng Khoa,Ông Phạm Đăng Khoa,Phó Tổng Giám đốc(dếng ngày 10 tháng 01 năm 2025),-,428,,,428.0
