row_label_raw,row_label_full,col_0,Vốn cổ phầnVND,Thặng dưvốn cổ phầnVND,Cổ phiếu quỹVND,Quỹ đầu tưphát triểnVND,Lợi nhuậnsau thuế chưaphán phốiVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn cổ phầnVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Cổ phiếu quỹVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Lợi nhuậnsau thuế chưaphán phốiVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,,,
Số đầu năm(trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Số đầu năm(trình bày lại),Số đầu năm(trình bày lại),21.771.732.360.000,14.602.790.587,(572.470.000),2.550.573.946.105,6.397.328.269.446,52.640.487.731,30.786.305.383.869,21771732360000.0,14602790587.0,-572470000.0,2550573946105.0,6397328269446.0,52640487731.0,30786305383869.0
Lợi nhuận thuầntrong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,8.201.155.033.601,13.001.888.012,8.214.156.921.613,,,,,8201155033601.0,13001888012.0,8214156921613.0
Mua lại cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(1.713.480.000),-,-,-,(1.713.480.000),,,-1713480000.0,,,,-1713480000.0
Trích quỹ đầu tưphát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ đầu tưphát triển,Trích quỹ đầu tưphát triển,-,-,-,3.484.019.695.540,(3.484.019.695.540),-,-,,,,3484019695540.0,-3484019695540.0,,
"Trích quỹ khenthường, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi",-,-,-,-,(280.020.969.268),(1.689.602.845),(281.710.572.113),,,,,-280020969268.0,-1689602845.0,-281710572113.0
Trích quỹ thườngban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Trích quỹ thườngban điều hành,Trích quỹ thườngban điều hành,-,-,-,-,(148.680.000),-,(148.680.000),,,,,-148680000.0,,-148680000.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Chia cổ tức,Chia cổ tức,-,-,-,-,(1.959.298.862.400),(10.800.000.000),(1.970.098.862.400),,,,,-1959298862400.0,-10800000000.0,-1970098862400.0
Điều chỉnh khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,10.443.630.437,-,10.443.630.437,,,,,10443630437.0,,10443630437.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Số cuối năm,Số cuối năm,21.771.732.360.000,14.602.790.587,(2.285.950.000),6.034.593.641.645,8.885.438.726.276,53.152.772.898,36.757.234.341.406,21771732360000.0,14602790587.0,-2285950000.0,6034593641645.0,8885438726276.0,53152772898.0,36757234341406.0
