row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1
,,,Số cuối năm VND,Số đầu năm VND,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,56.457.939.464,102.115.260.773,56457939464.0,102115260773.0
Khấu hao tài sản cố định tạm tăng (chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng (chưa có hóa đơn),Khấu hao tài sản cố định tạm tăng (chưa có hóa đơn),42.154.066.105,75.981.628.184,42154066105.0,75981628184.0
Trích trước chi phí thuê đất chưa có thông báo của Cơ quan Thuế,Trích trước chi phí thuê đất chưa có thông báo của Cơ quan Thuế,Trích trước chi phí thuê đất chưa có thông báo của Cơ quan Thuế,6.851.047.359,15.356.881.284,6851047359.0,15356881284.0
Chi phí sữa chữa (chưa có hóa đơn),Chi phí sữa chữa (chưa có hóa đơn),Chi phí sữa chữa (chưa có hóa đơn),6.182.021.904,10.151.078.302,6182021904.0,10151078302.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ,804.283.386,625.673.003,804283386.0,625673003.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,466.520.710,-,466520710.0,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,296.762.715,-,296762715.0,
Dự phòng khoản đầu tư,Dự phòng khoản đầu tư,Dự phòng khoản đầu tư,296.762.715,-,296762715.0,
Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,56.161.176.749,102.115.260.773,56161176749.0,102115260773.0
