row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,26.120.958.416.329,13.224.489.605.625,2.450.248.221.682,98.205.346.797,41.893.901.590.433,26120958416329.0,13224489605625.0,2450248221682.0,98205346797.0,41893901590433.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,787.480.666,315.186.318.777,344.185.787.930,21.157.629.923,681.317.217.296,787480666.0,315186318777.0,344185787930.0,21157629923.0,681317217296.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,65.763.032.144,277.924.121.510,-,-,343.687.153.654,65763032144.0,277924121510.0,,,343687153654.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(4.763.963.637),(21.724.403.650),(1.078.500.262),(34.141.817),(27.601.009.366),-4763963637.0,-21724403650.0,-1078500262.0,-34141817.0,-27601009366.0
Chuyển nhóm tài sản,Nguyên giá: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(7.573.191.560),7.940.376.179,(367.184.619),-,-,-7573191560.0,7940376179.0,-367184619.0,,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,26.175.171.773.942,13.803.816.018.441,2.792.988.324.731,119.328.834.903,42.891.304.952.017,26175171773942.0,13803816018441.0,2792988324731.0,119328834903.0,42891304952017.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,12.733.802.766.761,11.059.703.923.438,1.667.754.928.750,92.150.042.127,25.553.411.661.076,12733802766761.0,11059703923438.0,1667754928750.0,92150042127.0,25553411661076.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.985.530.746.880,768.049.893.889,274.610.059.147,3.933.532.274,3.032.124.232.190,1985530746880.0,768049893889.0,274610059147.0,3933532274.0,3032124232190.0
Thanh lý,Giá trị hao mòn lũy kế: > Thanh lý,Thanh lý,(4.759.010.546),(21.723.756.087),(1.078.500.262),(34.141.818),(27.595.408.713),-4759010546.0,-21723756087.0,-1078500262.0,-34141818.0,-27595408713.0
Chuyển nhóm tài sản,Giá trị hao mòn lũy kế: > Chuyển nhóm tài sản,Chuyển nhóm tài sản,(3.417.106.082),3.342.672.883,74.433.199,-,-,-3417106082.0,3342672883.0,74433199.0,,
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,14.711.157.397.013,11.809.372.734.123,1.941.360.920.834,96.049.432.583,28.557.940.484.553,14711157397013.0,11809372734123.0,1941360920834.0,96049432583.0,28557940484553.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,13.387.155.649.568,2.164.785.682.187,782.493.292.932,6.055.304.670,16.340.489.929.357,13387155649568.0,2164785682187.0,782493292932.0,6055304670.0,16340489929357.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,11.464.014.376.929,1.994.443.284.318,851.627.403.897,23.279.402.320,14.333.364.467.464,11464014376929.0,1994443284318.0,851627403897.0,23279402320.0,14333364467464.0
