row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VDN,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VDN,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số đầu năm,Số đầu năm,21.771.732.360.000,14.602.790.587,(2.285.950.000),6.034.593.641.645,8.885.438.726.276,53.152.772.898,36.757.234.341.406,21771732360000.0,14602790587.0,-2285950000.0,6034593641645.0,8885438726276.0,53152772898.0,36757234341406.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.647.476.267.498,(5.929.739.558),1.641.546.527.940,,,,,1647476267498.0,-5929739558.0,1641546527940.0
Mua lại cổ phiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(632.730.000),-,-,-,(632.730.000),,,-632730000.0,,,,-632730000.0
Trích quỹ khen thưởng phúc lợi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(825.140.435.675),(1.867.623.784),(827.008.059.459),,,,,-825140435675.0,-1867623784.0,-827008059459.0
Trích quỹ thưởng ban điều hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,(2.721.600.000),-,(2.721.600.000),,,,,-2721600000.0,,-2721600000.0
Chia cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Chia cổ tức,Chia cổ tức,-,-,-,-,-,(3.200.000.000),(3.200.000.000),,,,,,-3200000000.0,-3200000000.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số cuối năm,Số cuối năm,21.771.732.360.000,14.602.790.587,(2.918.680.000),6.034.593.641.645,9.705.052.958.099,42.155.409.556,37.565.218.479.887,21771732360000.0,14602790587.0,-2918680000.0,6034593641645.0,9705052958099.0,42155409556.0,37565218479887.0
