row_label_raw,row_label_full,col_0,Bản quyềnVND,Phần mềmmáy tínhVND,TSCĐ vôhình khácVND,Tổng cộngVND,numeric__Bản quyềnVND,numeric__Phần mềmmáy tínhVND,numeric__TSCĐ vôhình khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.661.339.000,18.522.647.282,170.000.000,21.353.986.282,2661339000.0,18522647282.0,170000000.0,21353986282.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,469.550.000,-,469.550.000,,469550000.0,,469550000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.661.339.000,18.992.197.282,170.000.000,21.823.536.282,2661339000.0,18992197282.0,170000000.0,21823536282.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,2.661.339.000,13.678.178.791,170.000.000,16.509.517.791,2661339000.0,13678178791.0,170000000.0,16509517791.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,2.258.295.717,-,2.258.295.717,,2258295717.0,,2258295717.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,2.661.339.000,15.936.474.508,170.000.000,18.767.813.508,2661339000.0,15936474508.0,170000000.0,18767813508.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,4.844.468.491,-,4.844.468.491,,4844468491.0,,4844468491.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,3.055.722.774,-,3.055.722.774,,3055722774.0,,3055722774.0
