row_label_raw,row_label_full,col_0,Số đầu năm VND,Số tăng trong năm VND,Số giảm trong năm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Số tăng trong năm VND,numeric__Số giảm trong năm VND,numeric__Số cuối năm VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.633.575.932,203.239.167.371,214.752.226.308,5.120.516.995,16633575932.0,203239167371.0,214752226308.0,5120516995.0
Thuế thu nhập doanh nghiệp (*),Phải nộp > Thuế thu nhập doanh nghiệp (*),Thuế thu nhập doanh nghiệp (*),530.153.191.238,455.521.759.111,902.424.443.138,83.250.507.211,530153191238.0,455521759111.0,902424443138.0,83250507211.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,59.744.013.287,193.147.352.913,252.498.187.268,393.178.932,59744013287.0,193147352913.0,252498187268.0,393178932.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,399.601.087,350.233.796,720.246.323,29.588.560,399601087.0,350233796.0,720246323.0,29588560.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.732.050.271,83.957.707.272,83.106.116.970,2.583.640.573,1732050271.0,83957707272.0,83106116970.0,2583640573.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,491.293.246,13.529.499.459,13.913.690.361,107.102.344,491293246.0,13529499459.0,13913690361.0,107102344.0
Thuế bảo vệ môi trường,Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,1.531.843.623,1.432.634.925,99.208.698,,1531843623.0,1432634925.0,99208698.0
Lợi nhuận nộp ngân sách,Phải nộp > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,,23.168.245.656,23.168.245.656,-,,23168245656.0,23168245656.0,
Các khoản khác,Phải nộp > Các khoản khác,Các khoản khác,-,722.260.449.223,722.260.449.223,-,,722260449223.0,722260449223.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,609.153.725.061,1.696.706.258.424,2.214.276.240.172,91.583.743.313,609153725061.0,1696706258424.0,2214276240172.0,91583743313.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.745.729.707,68.947.650.332,259.813.886,74.433.566.153,5745729707.0,68947650332.0,259813886.0,74433566153.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",587.504.167,981.581.889,18.000.000,1.551.086.056,587504167.0,981581889.0,18000000.0,1551086056.0
Lợi nhuận nộp ngân sách,Phải thu > Lợi nhuận nộp ngân sách,Lợi nhuận nộp ngân sách,4.928.026.949,-,4.928.026.949,-,4928026949.0,,4928026949.0,
Các khoản thuế khác,Phải thu > Các khoản thuế khác,Các khoản thuế khác,-,10.547.290,-,10.547.290,,10547290.0,,10547290.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,11.261.260.823,69.939.779.511,5.205.840.835,75.995.199.499,11261260823.0,69939779511.0,5205840835.0,75995199499.0
