row_label_raw,row_label_full,31/12/2021,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2021,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2021
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.639.223.609.182,(1.458.809.725.352),234.634.968.416,2.802.246.134.914,36.160.186.565,188.948.384.371,3639223609182.0,-1458809725352.0,234634968416.0,2802246134914.0,36160186565.0,188948384371.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.032.985.805.328,(1.663.447.075.803),59.863.679.084,872.686.010.090,185.249.785.286,128.348.325.379,2032985805328.0,-1663447075803.0,59863679084.0,872686010090.0,185249785286.0,128348325379.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.267.202.038.480,(1.543.678.266.712),92.069.951.776,6.999.771.771.889,2.663.665.848.684,151.706.711.813,3267202038480.0,-1543678266712.0,92069951776.0,6999771771889.0,2663665848684.0,151706711813.0
Tổng cộng,Tổng cộng,Tổng cộng,8.939.411.452.990,(4.665.935.067.867),386.568.599.276,10.674.703.916.893,2.885.075.820.535,469.003.421.563,8939411452990.0,-4665935067867.0,386568599276.0,10674703916893.0,2885075820535.0,469003421563.0
01/01/2021,01/01/2021,01/01/2021,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐ Năm 2020,,,,,,
01/01/2021,01/01/2021,01/01/2021,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2020,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2021 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.184.842.111.835,(1.673.482.459.564),133.617.330.854,2.025.590.143.028,62.230.411.821,161.604.778.211,3184842111835.0,-1673482459564.0,133617330854.0,2025590143028.0,62230411821.0,161604778211.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2021 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.004.795.576.153,(1.542.142.419.349),52.226.412.899,1.005.033.987.347,178.535.932.835,153.630.734.541,2004795576153.0,-1542142419349.0,52226412899.0,1005033987347.0,178535932835.0,153630734541.0
Hoạt động SXKD khác,01/01/2021 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.039.555.814.306,(1.223.055.908.168),78.316.087.342,6.915.332.333.094,2.432.929.319.839,150.451.823.846,3039555814306.0,-1223055908168.0,78316087342.0,6915332333094.0,2432929319839.0,150451823846.0
Tổng cộng,01/01/2021 > Tổng cộng,Tổng cộng,8.229.193.502.294,(4.438.680.787.081),264.159.831.095,9.945.956.463.469,2.673.695.664.495,465.687.336.598,8229193502294.0,-4438680787081.0,264159831095.0,9945956463469.0,2673695664495.0,465687336598.0
