row_label_raw,row_label_full,31/12/2021,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,178.527.322.546,-,178.527.322.546,178527322546.0,,178527322546.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,3.923.000.000.000,-,3.923.000.000.000,3923000000000.0,,3923000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,96.134.878.870,-,96.134.878.870,96134878870.0,,96134878870.0
Phải thu khác,Phải thu khác,Phải thu khác,39.799.539.482,786.569.947,40.586.109.429,39799539482.0,786569947.0,40586109429.0
Cộng,Cộng,Cộng,4.237.461.740.898,786.569.947,4.238.248.310.845,4237461740898.0,786569947.0,4238248310845.0
01/01/2021,01/01/2021,01/01/2021,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2021 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,419.589.966.019,-,419.589.966.019,419589966019.0,,419589966019.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2021 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.639.000.000.000,-,2.639.000.000.000,2639000000000.0,,2639000000000.0
Phải thu khách hàng,01/01/2021 > Phải thu khách hàng,Phải thu khách hàng,76.570.571.484,-,76.570.571.484,76570571484.0,,76570571484.0
Phải thu khác,01/01/2021 > Phải thu khác,Phải thu khác,30.615.362.511,412.183.710,31.027.546.221,30615362511.0,412183710.0,31027546221.0
Cộng,01/01/2021 > Cộng,Cộng,3.165.775.900.014,412.183.710,3.166.188.083.724,3165775900014.0,412183710.0,3166188083724.0
