row_label_raw,row_label_full,31/12/2021,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,363.762.300.188,-,363.762.300.188,363762300188.0,,363762300188.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,3.754.021.957,-,3.754.021.957,3754021957.0,,3754021957.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.032.288.120.686,-,2.032.288.120.686,2032288120686.0,,2032288120686.0
Phải trả khác,Phải trả khác,Phải trả khác,148.105.944.611,10.795.747.715,158.901.692.326,148105944611.0,10795747715.0,158901692326.0
Cộng,Cộng,Cộng,2.547.910.387.442,10.795.747.715,2.558.706.135.157,2547910387442.0,10795747715.0,2558706135157.0
01/01/2021,01/01/2021,01/01/2021,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2021 > Phải trả người bán,Phải trả người bán,382.521.322.173,-,382.521.322.173,382521322173.0,,382521322173.0
Chi phí phải trả,01/01/2021 > Chi phí phải trả,Chi phí phải trả,3.045.149.728,-,3.045.149.728,3045149728.0,,3045149728.0
Vay và nợ thuê tài chính,01/01/2021 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.723.009.678.809,-,1.723.009.678.809,1723009678809.0,,1723009678809.0
Phải trả khác,01/01/2021 > Phải trả khác,Phải trả khác,188.677.244.970,11.085.657.724,199.762.902.694,188677244970.0,11085657724.0,199762902694.0
Cộng,01/01/2021 > Cộng,Cộng,2.297.253.395.680,11.085.657.724,2.308.339.053.404,2297253395680.0,11085657724.0,2308339053404.0
