row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.474.678.545,54.941.764.050,57.416.442.595,2474678545.0,54941764050.0,57416442595.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.926.694.800,4.926.694.800,,4926694800.0,4926694800.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,2.474.678.545,59.868.458.850,62.343.137.395,2474678545.0,59868458850.0,62343137395.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,751.838.051,40.250.980.804,41.002.818.855,751838051.0,40250980804.0,41002818855.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,89.982.203,9.529.385.438,9.619.367.641,89982203.0,9529385438.0,9619367641.0
- Khẩu hao,Khẩu hao > - Khẩu hao,- Khẩu hao,89.982.203,9.487.718.771,9.577.700.974,89982203.0,9487718771.0,9577700974.0
- Sử dụng Quỹ KH&CN,Khẩu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,-,41.666.667,41.666.667,,41666667.0,41666667.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,841.820.254,49.780.366.242,50.622.186.496,841820254.0,49780366242.0,50622186496.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.722.840.494,14.690.783.246,16.413.623.740,1722840494.0,14690783246.0,16413623740.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.632.858.291,10.088.092.608,11.720.950.899,1632858291.0,10088092608.0,11720950899.0
