row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,1.583.711.923.218,994.063.195.612,4.090.749.390.592,3.875.088.825.443,1.400.233.560.264,1.344.337.442.517,7.074.694.874.074,6.213.489.463.572,1583711923218.0,994063195612.0,4090749390592.0,3875088825443.0,1400233560264.0,1344337442517.0,7074694874074.0,6213489463572.0
Giá vốn bộ phân,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,1.212.061.556.948,962.413.550.817,2.444.966.193.800,2.165.651.739.568,1.179.588.096.894,1.065.597.214.674,4.836.615.847.642,4.193.662.505.059,1212061556948.0,962413550817.0,2444966193800.0,2165651739568.0,1179588096894.0,1065597214674.0,4836615847642.0,4193662505059.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,371.650.366.270,31.649.644.795,1.645.783.196.792,1.709.437.085.875,220.645.463.370,278.740.227.843,2.238.079.026.432,2.019.826.958.513,371650366270.0,31649644795.0,1645783196792.0,1709437085875.0,220645463370.0,278740227843.0,2238079026432.0,2019826958513.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,311.264.421.580,194.444.716.865,,,,,,,311264421580.0,194444716865.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,66.281.156.486,71.847.485.893,,,,,,,66281156486.0,71847485893.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,674.749.675.598,627.174.280.551,,,,,,,674749675598.0,627174280551.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,249.868.959.881,230.818.746.809,,,,,,,249868959881.0,230818746809.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.558.443.656.047,1.284.431.162.125,,,,,,,1558443656047.0,1284431162125.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,53.728.595.569,38.140.987.044,,,,,,,53728595569.0,38140987044.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,6.819.431.844,5.044.355.138,,,,,,,6819431844.0,5044355138.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,46.909.163.725,33.096.631.906,,,,,,,46909163725.0,33096631906.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.605.352.819.772,1.317.527.794.031,,,,,,,1605352819772.0,1317527794031.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,185.105.855.326,213.177.287.706,,,,,,,185105855326.0,213177287706.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.420.246.964.446,1.104.350.506.325,,,,,,,1420246964446.0,1104350506325.0
