row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,265.146.773,261.041.568,265146773.0,261041568.0
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,258.117.172,242.844.188,258117172.0,242844188.0
Phải trả khác,Phải trả khác,Phải trả khác,7.029.601,18.197.380,7029601.0,18197380.0
Dài hạn,Dài hạn,Dài hạn,52.598.875,51.183.874,52598875.0,51183874.0
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,31.686.854,30.271.853,31686854.0,30271853.0
Phải trả khác,Phải trả khác,Phải trả khác,20.912.021,20.912.021,20912021.0,20912021.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,317.745.648,312.225.442,317745648.0,312225442.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn bên liên quan (TM số 28),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 28),Phải trả ngắn hạn bên liên quan (TM số 28),258.117.172,242.844.188,258117172.0,242844188.0
Phải trả dài hạn bên liên quan (TM số 28),Trong đó: > Phải trả dài hạn bên liên quan (TM số 28),Phải trả dài hạn bên liên quan (TM số 28),31.686.854,30.271.853,31686854.0,30271853.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,27.941.622,39.109.401,27941622.0,39109401.0
