row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu và biểu quyết,Số cuối năm > Giá trị đầu tư biêu quyết,Số đầu năm > Tỷ lệ sở hữu và biểu quyết,Số đầu năm > Giá trị đầu tư,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu và biểu quyết,numeric__Số cuối năm > Giá trị đầu tư biêu quyết,numeric__Số đầu năm > Tỷ lệ sở hữu và biểu quyết,numeric__Số đầu năm > Giá trị đầu tư
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,%,Ngàn VND,%,Ngàn VND,,,,,
Bidiphar,Tên công ty > Bidiphar,Bidiphar,"Trồng, khai thác và chế biến các sản phẩm từ cây cao su","49,14",286.004.636,"49,14",286.004.636,,49.14,286004636.0,49.14,286004636.0
