row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(Lỗ) lợi nhuận kế toán trước thuế,(912.908.221),95.677.060,-912908221.0,95677060.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,
Chi phí không được trừ,Các điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,1.165.605.764,12.788.732,1165605764.0,12788732.0
Cổ tức,Các điều chỉnh: > Cổ tức,Cổ tức,(26.144.558),(26.144.558),-26144558.0,-26144558.0
Chênh lệch tỷ giá hối đoái,Các điều chỉnh: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(253.381.383),(31.165.445),-253381383.0,-31165445.0
Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP (*),Các điều chỉnh: > Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP (*),Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP (*),20.003.206,-,20003206.0,
(Lỗ) thu nhập chịu thuế ước tính,Các điều chỉnh: > (Lỗ) thu nhập chịu thuế ước tính,(Lỗ) thu nhập chịu thuế ước tính,(6.825.192),51.155.789,-6825192.0,51155789.0
Lỗ thuế chuyển sang năm sau chưa ghi nhận thuế hoãn lại,Các điều chỉnh: > Lỗ thuế chuyển sang năm sau chưa ghi nhận thuế hoãn lại,Lỗ thuế chuyển sang năm sau chưa ghi nhận thuế hoãn lại,6.825.192,-,6825192.0,
Lỗ chuyển sang từ năm trước,Các điều chỉnh: > Lỗ chuyển sang từ năm trước,Lỗ chuyển sang từ năm trước,-,(51.155.789),,-51155789.0
Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,-,-,,
Thuế TNDN trả trước đầu năm,Chi phí thuế TNDN hiện hành ước tính > Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(285.831),(285.831),-285831.0,-285831.0
Thuế TNDN trả trước cuối năm,Chi phí thuế TNDN hiện hành ước tính > Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
