row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,
HA Attapeu,Phải thu ngắn hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Cấn trừ công nợ,1.915.970.282,1.544.502.764,,1915970282.0,1544502764.0
HA Attapeu,Phải thu ngắn hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Lãi cho vay,792.155.976,518.905.443,,792155976.0,518905443.0
HA Attapeu,Phải thu ngắn hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Chi hộ,178.644.427,175.328.116,,178644427.0,175328116.0
HAQM Lào,Phải thu ngắn hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Lãi cho vay,154.580.896,117.003.008,,154580896.0,117003008.0
HAQM Lào,Phải thu ngắn hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Cấn trừ công nợ,21.880.460,5.993.044,,21880460.0,5993044.0
HAQM Lào,Phải thu ngắn hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Chi hộ,1.110.999,938.990,,1110999.0,938990.0
CRD,Phải thu ngắn hạn khác (TM số 8) > CRD,CRD,Cấn trừ công nợ,87.256.429,75.757.851,,87256429.0,75757851.0
Thaco Agri,Phải thu ngắn hạn khác (TM số 8) > Thaco Agri,Thaco Agri,Cấn trừ công nợ,71.815.957,71.724.705,,71815957.0,71724705.0
Nam Lào,Phải thu ngắn hạn khác (TM số 8) > Nam Lào,Nam Lào,Chi hộ,14.715.372,-,,14715372.0,
HA Oyadav,Phải thu ngắn hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Chi hộ,58.885,-,,58885.0,
HA Oyadav,Phải thu ngắn hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Cấn trừ công nợ,-,208.405.364,,,208405364.0
HA Oyadav,Phải thu ngắn hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Lãi cho vay,-,35.696.686,,,35696686.0
Bên liên quan khác,Phải thu ngắn hạn khác (TM số 8) > Bên liên quan khác,Bên liên quan khác,Chi hộ,69.227,72.310,,69227.0,72310.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,3.238.258.910,2.754.328.281,,3238258910.0,2754328281.0
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,
HA Attapeu,Phải thu dài hạn khác (TM số 8) > HA Attapeu,HA Attapeu,Lãi cho vay,1.664.648.815,1.529.997.028,,1664648815.0,1529997028.0
HAQM Lào,Phải thu dài hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Lãi cho vay,72.306.516,72.226.296,,72306516.0,72226296.0
HAQM Lào,Phải thu dài hạn khác (TM số 8) > HAQM Lào,HAQM Lào,Cấn trừ công nợ,-,31.191.182,,,31191182.0
HA Oyadav,Phải thu dài hạn khác (TM số 8) > HA Oyadav,HA Oyadav,Lãi cho vay,-,35.523.737,,,35523737.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,1.736.955.331,1.668.938.243,,1736955331.0,1668938243.0
Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),Phải trả người bán ngắn hạn (TM số 15),,,
Thaco Agri,Phải trả người bán ngắn hạn (TM số 15) > Thaco Agri,Thaco Agri,Mua hàng hóa,430.876.918,-,,430876918.0,
Thaco Phân Phối,Phải trả người bán ngắn hạn (TM số 15) > Thaco Phân Phối,Thaco Phân Phối,Mua hàng hóa,39.257.000,30.337.400,,39257000.0,30337400.0
CRD,Phải trả người bán ngắn hạn (TM số 15) > CRD,CRD,Mua hàng hóa,2.668.429,2.549.268,,2668429.0,2549268.0
Bên liên quan khác,Phải trả người bán ngắn hạn (TM số 15) > Bên liên quan khác,Bên liên quan khác,Mua hàng hóa và dịch vụ,2.052.700,7.422.416,,2052700.0,7422416.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 15) > TỔNG CỘNG,TỔNG CỘNG,,474.855.047,40.309.084,,474855047.0,40309084.0
