row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),Người mua trả tiền trước ngắn hạn (TM số 16),,,
Thaco Agri,Người mua trả tiền trước ngắn hạn (TM số 16) > Thaco Agri,Thaco Agri,Mua hàng hóa,322.771.443,846.686.346,,322771443.0,846686346.0
Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),Chi phí phải trả ngắn hạn (TM số 17),,,
Thaco Agri,Chi phí phải trả ngắn hạn (TM số 17) > Thaco Agri,Thaco Agri,Lãi vay,1.106.819.725,570.909.491,,1106819725.0,570909491.0
Thilogi,Chi phí phải trả ngắn hạn (TM số 17) > Thilogi,Thilogi,Mua dịch vụ,156.000,-,,156000.0,
TỔNG CỘNG,Chi phí phải trả ngắn hạn (TM số 17) > TỔNG CỘNG,TỔNG CỘNG,,1.106.975.725,570.909.491,,1106975725.0,570909491.0
Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),Phải trả ngắn hạn khác (TM số 18),,,
HA Rattanakiri,Phải trả ngắn hạn khác (TM số 18) > HA Rattanakiri,HA Rattanakiri,Cán trừ công nợ,183.414.078,226.742.175,,183414078.0,226742175.0
HA Oyadav,Phải trả ngắn hạn khác (TM số 18) > HA Oyadav,HA Oyadav,Cán trừ công nợ,46.482.179,-,,46482179.0,
Heng Brothers,Phải trả ngắn hạn khác (TM số 18) > Heng Brothers,Heng Brothers,Cán trừ công nợ,10.342.597,-,,10342597.0,
Thaco Agri,Phải trả ngắn hạn khác (TM số 18) > Thaco Agri,Thaco Agri,Mượn tiền,10.220.201,8.453.813,,10220201.0,8453813.0
HA Attapeu,Phải trả ngắn hạn khác (TM số 18) > HA Attapeu,HA Attapeu,Thu hộ,7.648.200,7.648.200,,7648200.0,7648200.0
Khác,Phải trả ngắn hạn khác (TM số 18) > Khác,Khác,Khác,9.917,-,,9917.0,
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 18) > TỔNG CỘNG,TỔNG CỘNG,,258.117.172,242.844.188,,258117172.0,242844188.0
Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),Phải trả dài hạn khác (TM số 18),,,
Heng Brothers,Phải trả dài hạn khác (TM số 18) > Heng Brothers,Heng Brothers,Cán trừ công nợ,31.686.854,30.271.853,,31686854.0,30271853.0
Vay ngắn hạn (TM số 19.1 và TM số 19.3),Vay ngắn hạn (TM số 19.1 và TM số 19.3),Vay ngắn hạn (TM số 19.1 và TM số 19.3),Vay ngắn hạn (TM số 19.1 và TM số 19.3),Vay ngắn hạn (TM số 19.1 và TM số 19.3),Vay ngắn hạn (TM số 19.1 và TM số 19.3),,,
Thaco Agri,Vay ngắn hạn (TM số 19.1 và TM số 19.3) > Thaco Agri,Thaco Agri,Vay,9.064.874.588,3.549.936.988,,9064874588.0,3549936988.0
HAG,Vay ngắn hạn (TM số 19.1 và TM số 19.3) > HAG,HAG,Vay,-,984.698.038,,,984698038.0
TỔNG CỘNG,Vay ngắn hạn (TM số 19.1 và TM số 19.3) > TỔNG CỘNG,TỔNG CỘNG,,9.064.874.588,4.534.635.026,,9064874588.0,4534635026.0
Vay dài hạn (TM số 19.3),Vay dài hạn (TM số 19.3),Vay dài hạn (TM số 19.3),Vay dài hạn (TM số 19.3),Vay dài hạn (TM số 19.3),Vay dài hạn (TM số 19.3),,,
Thaco Agri,Vay dài hạn (TM số 19.3) > Thaco Agri,Thaco Agri,Vay,-,1.904.917.600,,,1904917600.0
