row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoàn nhập dự phòng)Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệcó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 11, 1223",Năm nay > (912.908.221)1.290.4531.126.597.875(254.161.019)(573.257.689)567.116.337,Năm trước > 95.677.0601.469.250(183.181.853)(24.896.197)(547.043.567)523.270.610,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuận kế toán trước thuếĐiều chính cho các khoản:Khấu hao và hao mònCác khoản dự phòng (hoàn nhập dự phòng)Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệcó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 11, 1223",numeric__Năm nay > (912.908.221)1.290.4531.126.597.875(254.161.019)(573.257.689)567.116.337,numeric__Năm trước > 95.677.0601.469.250(183.181.853)(24.896.197)(547.043.567)523.270.610
08,08,08,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
09,09,09,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
10,10,10,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
11,11,11,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
12,12,12,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
14,14,14,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
17,17,17,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuTăng hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chỉ phí trả trướcTiền lãi vay đã trảTiền chi khác cho hoạt động kinh doanh,,(45.322.264)(141.801.918)(4.022.166)(85.497.131)131.965(81.796.952)(144.000),(134.704.697)(186.734.618)(32.601.829)928.603.688781.887(235.466.534)-,,,,
20,17 > 20,20,Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động kinh doanh,,(358.452.466),339.877.897,,,-358452466.0,339877897.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chỉ cho vayTiền chỉ đầu tư góp vốn vào công ty conTiền thu lãi tiền gửi và cổ tức được chia,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chỉ cho vayTiền chỉ đầu tư góp vốn vào công ty conTiền thu lãi tiền gửi và cổ tức được chia,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰTiền chỉ cho vayTiền chỉ đầu tư góp vốn vào công ty conTiền thu lãi tiền gửi và cổ tức được chia,,,(1.996.647.006)(160.042.000)26.184.612,(1.109.783.420)(231.890.991)38.165,,,,
23,23,23,,,(1.996.647.006)(160.042.000)26.184.612,(1.109.783.420)(231.890.991)38.165,,,,
25,25,25,,,(1.996.647.006)(160.042.000)26.184.612,(1.109.783.420)(231.890.991)38.165,,,,
27,27,27,,,(1.996.647.006)(160.042.000)26.184.612,(1.109.783.420)(231.890.991)38.165,,,,
30,27 > 30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(2.130.504.394),(1.341.636.246),,,-2130504394.0,-1341636246.0
