row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,310.655,5.701.139,2.966.173,8.977.967,310655.0,5701139.0,2966173.0,8977967.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,310.655,4.311.791,322.183,4.944.629,310655.0,4311791.0,322183.0,4944629.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(310.655),(5.398.745),(2.554.781),(8.264.181),-310655.0,-5398745.0,-2554781.0,-8264181.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(142.034),(400.919),(542.953),,-142034.0,-400919.0,-542953.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(310.655),(5.540.779),(2.955.700),(8.807.134),-310655.0,-5540779.0,-2955700.0,-8807134.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,-,302.394,411.392,713.786,,302394.0,411392.0,713786.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,160.360,10.473,170.833,,160360.0,10473.0,170833.0
