row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
Thaco Agri,Thaco Agri,Thaco Agri,Vay,3.790.420.000,2.507.117.600,,3790420000.0,2507117600.0
Thaco Agri,Thaco Agri,Thaco Agri,Lãi vay,535.779.028,415.243.040,,535779028.0,415243040.0
Thaco Agri,Thaco Agri,Thaco Agri,Cán trừ công nợ,395.947.547,55.516.334,,395947547.0,55516334.0
Thaco Agri,Thaco Agri,Thaco Agri,Mua hàng hóa,379.990.887,322.763.069,,379990887.0,322763069.0
Thaco Agri,Thaco Agri,Thaco Agri,Bán hàng hóa,184.040.177,135.746.329,,184040177.0,135746329.0
Thaco Agri,Thaco Agri,Thaco Agri,Trả gốc vay,179.400.000,169.100.000,,179400000.0,169100000.0
Thaco Agri,Thaco Agri,Thaco Agri,Mượn tiền,-,8.000.000,,,8000000.0
HAG,HAG,HAG,Trả gốc vay,984.698.038,400.000.000,,984698038.0,400000000.0
HAG,HAG,HAG,Cán trừ công nợ,149.232.759,185.859,,149232759.0,185859.0
HA Attapeu,HA Attapeu,HA Attapeu,Cho vay,454.370.088,170.439.778,,454370088.0,170439778.0
HA Attapeu,HA Attapeu,HA Attapeu,Lãi cho vay,396.764.885,367.780.157,,396764885.0,367780157.0
HA Attapeu,HA Attapeu,HA Attapeu,Bán hàng hóa và cung cấp dịch vụ,388.018.840,321.355.346,,388018840.0,321355346.0
HA Attapeu,HA Attapeu,HA Attapeu,Cán trừ công nợ,316.391.149,-,,316391149.0,
HA Attapeu,HA Attapeu,HA Attapeu,Cán trừ nợ gốc vay,233.031.130,398.329.719,,233031130.0,398329719.0
HA Attapeu,HA Attapeu,HA Attapeu,Mua hàng hóa,99.287.666,74.452.177,,99287666.0,74452177.0
HA Oyadav,HA Oyadav,HA Oyadav,Cán trừ công nợ,394.332.017,192.545.530,,394332017.0,192545530.0
HA Oyadav,HA Oyadav,HA Oyadav,Góp vốn,160.042.000,231.890.991,,160042000.0,231890991.0
HA Oyadav,HA Oyadav,HA Oyadav,Lãi cho vay,63.537.513,66.625.266,,63537513.0,66625266.0
HAQM Lào,HAQM Lào,HAQM Lào,Cán trừ công nợ,167.435.978,-,,167435978.0,
HAQM Lào,HAQM Lào,HAQM Lào,Mua hàng hóa,78.767.126,53.478.382,,78767126.0,53478382.0
HAQM Lào,HAQM Lào,HAQM Lào,Lãi cho vay,37.658.108,37.477.039,,37658108.0,37477039.0
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Lãi cho vay,49.112.567,48.978.380,,49112567.0,48978380.0
HA Rattanakiri,HA Rattanakiri,HA Rattanakiri,Cán trừ công nợ,-,205.195.120,,,205195120.0
Bidiphar,Bidiphar,Bidiphar,Thu tiền cổ tức,26.144.558,52.289.115,,26144558.0,52289115.0
Bidiphar,Bidiphar,Bidiphar,Cổ tức được chia,26.144.558,26.144.558,,26144558.0,26144558.0
Nam Lào,Nam Lào,Nam Lào,Bán hàng hóa và cung cấp dịch vụ,26.087.917,-,,26087917.0,
Heng Brothers,Heng Brothers,Heng Brothers,Cán trừ công nợ,10.044.778,6.878,,10044778.0,6878.0
Thaco Phân phối,Thaco Phân phối,Thaco Phân phối,Mua hàng hóa,8.258.889,12.286.111,,8258889.0,12286111.0
CRD,CRD,CRD,Cán trừ công nợ,7.445.106,68.208.415,,7445106.0,68208415.0
Thilogi,Thilogi,Thilogi,Mua dịch vụ,6.654.015,5.581.303,,6654015.0,5581303.0
Đại Quang Minh,Đại Quang Minh,Đại Quang Minh,Mua dịch vụ,4.052.625,-,,4052625.0,
