row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,155.503.110.307,7.606.926.972,241.269.462.970,1.497.492.429,405.876.992.678,155503110307.0,7606926972.0,241269462970.0,1497492429.0,405876992678.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,338.000.000,1.234.084.545,-,1.572.084.545,,338000000.0,1234084545.0,,1572084545.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(346.248.472),-,(2.147.638.893),-,(2.493.887.365),-346248472.0,,-2147638893.0,,-2493887365.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,155.156.861.835,7.944.926.972,240.355.908.622,1.497.492.429,404.955.189.858,155156861835.0,7944926972.0,240355908622.0,1497492429.0,404955189858.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,108.073.510.701,4.730.636.968,156.368.093.480,1.405.953.377,270.578.194.526,108073510701.0,4730636968.0,156368093480.0,1405953377.0,270578194526.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.702.382.522,960.765.832,15.985.844.536,80.468.355,27.729.461.245,10702382522.0,960765832.0,15985844536.0,80468355.0,27729461245.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(346.248.472),-,(2.147.638.893),-,(2.493.887.365),-346248472.0,,-2147638893.0,,-2493887365.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,118.429.644.751,5.691.402.800,170.206.299.123,1.486.421.732,295.813.768.406,118429644751.0,5691402800.0,170206299123.0,1486421732.0,295813768406.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,47.429.599.606,2.876.290.004,84.901.369.490,91.539.052,135.298.798.152,47429599606.0,2876290004.0,84901369490.0,91539052.0,135298798152.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,36.727.217.084,2.253.524.172,70.149.609.499,11.070.697,109.141.421.452,36727217084.0,2253524172.0,70149609499.0,11070697.0,109141421452.0
