row_label_raw,row_label_full,col_0,Ngắn hạn VND,31/12/2016Dài hạn VND,Tổng cộng VND,1/1/2016Dài hạn VND,numeric__Ngắn hạn VND,numeric__31/12/2016Dài hạn VND,numeric__Tổng cộng VND,numeric__1/1/2016Dài hạn VND
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,,
Công ty Cổ phần Cảng Xanh VIP (*),Công ty Cổ phần Cảng Xanh VIP (*),Công ty Cổ phần Cảng Xanh VIP (*),,,,,,,,
▪ Khoản gốc cho vay,Công ty Cổ phần Cảng Xanh VIP (*) > ▪ Khoản gốc cho vay,▪ Khoản gốc cho vay,23.890.433.308,62.164.350.038,86.054.783.346,90.000.000.000,23890433308.0,62164350038.0,86054783346.0,90000000000.0
▪ Tiền lãi cho vay nhập gốc,Công ty Cổ phần Cảng Xanh VIP (*) > ▪ Tiền lãi cho vay nhập gốc,▪ Tiền lãi cho vay nhập gốc,-,5.561.733.233,5.561.733.233,2.019.333.333,,5561733233.0,5561733233.0,2019333333.0
Công ty Cổ phần Container Miền Trung (**),Công ty Cổ phần Container Miền Trung (**),Công ty Cổ phần Container Miền Trung (**),,,,,,,,
▪ Khoản gốc tiền cho vay,Công ty Cổ phần Container Miền Trung (**) > ▪ Khoản gốc tiền cho vay,▪ Khoản gốc tiền cho vay,1.879.278.944,2.818.918.420,4.698.197.364,-,1879278944.0,2818918420.0,4698197364.0,
Công ty TNHH MTV Vận tải biển Ngôi sao Xanh (***),Công ty TNHH MTV Vận tải biển Ngôi sao Xanh (***),Công ty TNHH MTV Vận tải biển Ngôi sao Xanh (***),,,,,,,,
▪ Khoản gốc tiền cho vay,Công ty TNHH MTV Vận tải biển Ngôi sao Xanh (***) > ▪ Khoản gốc tiền cho vay,▪ Khoản gốc tiền cho vay,2.100.000.000,4.900.000.000,7.000.000.000,-,2100000000.0,4900000000.0,7000000000.0,
,,,27.869.712.252,75.445.001.691,103.314.713.943,92.019.333.333,27869712252.0,75445001691.0,103314713943.0,92019333333.0
