row_label_raw,row_label_full,Tên công ty,Địa chỉ,Hoạt động chính,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ,Hoạt động chính,Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ biểu quyết (%),Tỷ lệ vốn nằm giữ trực tiếp (%),Tỷ lệ biểu quyết (%),,,,,,
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Tên công ty > Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,"Tầng 1-4, tỏa V1 The Van Phu Victoria, CT9, Khu đỏ thị Văn Phú, Phường Phúc La, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,"35,00","35,00","35,00","35,00",,,35.0,35.0,35.0,35.0
Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Tên công ty > Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,"Số 14, lô B1, Khu đỏ thị mới Nam Từ Sơn, Phường Phù Chẩn, Thành phố Từ Sơn, Tĩnh Bắc Ninh",Xây dựng và thu phí đường bộ,"33,00","33,00","33,00","33,00",,,33.0,33.0,33.0,33.0
Công ty Cổ phần In và Văn hóa phẩm,Tên công ty > Công ty Cổ phần In và Văn hóa phẩm,Công ty Cổ phần In và Văn hóa phẩm,"Số 83, đường Hảo Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội",Xây dựng và in ấn,"46,77","46,77","46,77","46,77",,,46.77,46.77,46.77,46.77
Công ty TNHH BT Hà Đông,Tên công ty > Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,"Số 12, đường Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội",Xây dựng công trình kỹ thuật dân dụng,"50,00","50,00","50,24","50,00",,,50.0,50.0,50.24,50.0
Công ty Cổ phần Đầu tư Kinh doanh Địa ốc An Phú (trước đây là Công ty Cổ phần Kinh doanh Địa ốc Văn Phú),Tên công ty > Công ty Cổ phần Đầu tư Kinh doanh Địa ốc An Phú (trước đây là Công ty Cổ phần Kinh doanh Địa ốc Văn Phú),Công ty Cổ phần Đầu tư Kinh doanh Địa ốc An Phú (trước đây là Công ty Cổ phần Kinh doanh Địa ốc Văn Phú),"V11-A09, Lô đất TTDV01, Khu đỏ thị mới An Hưng, Phường La Khê, Quận Hà Đông, Thành phố Hà Nội","Tư vấn, môi giới, đấu giá bất động sản",-,-,"43,90","36,00",,,,,43.9,36.0
Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ (trước đây là Công ty TNHH Đầu tư Cần Khương),Tên công ty > Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ (trước đây là Công ty TNHH Đầu tư Cần Khương),Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ (trước đây là Công ty TNHH Đầu tư Cần Khương),"Số 9C, Đường Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Thành phố Cần Thơ",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00",,,49.0,49.0,49.0,49.0
Công ty Cổ phần Đầu tư Phong Phú,Tên công ty > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,"Số 36 Đường 31 A, Phường An Phú, Quận 2, Thành phố Hồ Chí Minh",Kinh doanh bất động sản,"30,60","30,60",-,-,,,30.6,30.6,,
Công ty Cổ phần Đầu tư Hà Phú Riverland,Tên công ty > Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,"Số 90 Đường Phan Trung, KP 7, Phường Tân Tiến, Thành phố Biên Hoà, Tĩnh Đồng Nai",Kinh doanh bất động sản,"30,60","30,60",-,-,,,30.6,30.6,,
Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,Tên công ty > Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,Công ty Cổ phần Đầu tư - Kinh doanh Bất động sản Trần Việt,"Số 285 Nguyễn Du, Phường Nghĩa Chánh, Thành phố Quảng Ngãi, Tĩnh Quảng Ngãi",Kinh doanh bất động sản,"49,00","49,00","49,00","49,00",,,49.0,49.0,49.0,49.0
Công ty TNHH An Biên Golf and Resort,Tên công ty > Công ty TNHH An Biên Golf and Resort,Công ty TNHH An Biên Golf and Resort,"Số 25B, phố Hải Hà, phường Hồng Hải, thành phố Hạ Long, tỉnh Quảng Ninh",Kinh doanh bất động sản,"49,00","49,00",10,10,,,49.0,49.0,10.0,10.0
Công ty TNHH Công viên Trung Văn (*),Tên công ty > Công ty TNHH Công viên Trung Văn (*),Công ty TNHH Công viên Trung Văn (*),"Nhà 24B/1 Khu nhà ở Phú Mỹ, số 24 Ngô Quyền, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",Kinh doanh bất động sản,(*),"40,00",-,-,,,,40.0,,
