row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán","Nguyên giá: > Số đầu năm- Mua trong năm- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán",580.180.516.407,5.469.853.015,17.392.381.4708.140.280.000(2.528.555.879),3.379.174.360236.252.728-,9.337.310.74560.000.000(56.500.000),615.759.235.9978.436.532.728(2.585.055.879),580180516407.0,5469853015.0,,,,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,580.180.516.407,5.469.853.015,23.004.105.591,3.615.427.088,9.340.810.745,621.610.712.846,580180516407.0,5469853015.0,23004105591.0,3615427088.0,9340810745.0,621610712846.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,-,1.338.805.385,49.080.000,1.387.885.385,,,,1338805385.0,49080000.0,1387885385.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán",13.713.357.65812.947.820.780-,903.896.787779.964.967-,9.677.541.9453.697.600.323(1.304.849.759),2.257.377.472720.474.829-,1.730.039.0041.426.874.736(19.068.745),28.282.212.86619.572.735.635(1.323.918.504),,,,,,
Số cuối năm,"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,26.661.178.438,1.683.861.754,12.070.292.509,2.977.852.301,3.137.844.995,46.531.029.997,26661178438.0,1683861754.0,12070292509.0,2977852301.0,3137844995.0,46531029997.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,566.467.158.749,4.565.956.228,7.714.839.525,1.121.796.888,7.607.271.741,587.477.023.131,566467158749.0,4565956228.0,7714839525.0,1121796888.0,7607271741.0,587477023131.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,553.519.337.969,3.785.991.261,10.933.813.082,637.574.787,6.202.965.750,575.079.682.849,553519337969.0,3785991261.0,10933813082.0,637574787.0,6202965750.0,575079682849.0
