row_label_raw,row_label_full,col_0,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,Công ty Cổ phần In và Văn hóa phẩm,Công ty TNHH BT Hà Đông,Công ty Cổ phần Đầu tư Kinh doanh Địa ốc An Phú (iii),Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,Công ty Cổ phần Đầu tư Phong Phù (i),Công ty Cổ phần Đầu tư Hà Phú Riverland (ii),Công ty Cổ phần Đầu tư – Kinh doanh Bắt động sản Trần Việt,Công ty TNHH An Biên Golf and Resort,Tổng công,numeric__Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,numeric__Công ty Cổ phần Đầu tư BOT Hà Nội – Bắc Giang,numeric__Công ty Cổ phần In và Văn hóa phẩm,numeric__Công ty TNHH BT Hà Đông,numeric__Công ty Cổ phần Đầu tư Kinh doanh Địa ốc An Phú (iii),numeric__Công ty TNHH Đầu tư Phát triển Đô thị Cần Thơ,numeric__Công ty Cổ phần Đầu tư Phong Phù (i),numeric__Công ty Cổ phần Đầu tư Hà Phú Riverland (ii),numeric__Công ty Cổ phần Đầu tư – Kinh doanh Bắt động sản Trần Việt,numeric__Công ty TNHH An Biên Golf and Resort,numeric__Tổng công
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,278.006.400.000,163.786.400.000,33.777.503.175,52.402.886.097,2.160.000.000(2.160.000.000),370.673.708.408,-,-,27.440.000.000,-,928.246.897.680(2.160.000.000),278006400000.0,163786400000.0,33777503175.0,52402886097.0,,370673708408.0,,,27440000000.0,,
- Thoái vốn,- Thoái vốn,- Thoái vốn,-,-,-,-,2.160.000.000(2.160.000.000),-,-,-,-,-,928.246.897.680(2.160.000.000),,,,,,,,,,,
- Góp vốn/mua mới trong năm,- Thoái vốn > - Góp vốn/mua mới trong năm,- Góp vốn/mua mới trong năm,-,-,-,2.160.000.000,-,-,191.250.000.000,76.500.000.000,-,202.370.000.000,472.280.000.000,,,,2160000000.0,,,191250000000.0,76500000000.0,,202370000000.0,472280000000.0
Số cuối năm,- Thoái vốn > Số cuối năm,Số cuối năm,278.006.400.000,163.786.400.000,33.777.503.175,54.562.886.097,-,370.673.708.408,191.250.000.000,76.500.000.000,27.440.000.000,202.370.000.000,1.398.366.897.680,278006400000.0,163786400000.0,33777503175.0,54562886097.0,,370673708408.0,191250000000.0,76500000000.0,27440000000.0,202370000000.0,1398366897680.0
"Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết:",,,,,,,,,,,
Số đầu năm,"Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,(1.094.705.700),44.882.638.777,(4.509.071.504),-,(2.160.000.000),-,-,-,(5.197.197),-,37.113.664.376,-1094705700.0,44882638777.0,-4509071504.0,,-2160000000.0,,,,-5197197.0,,37113664376.0
- Thay đổi do thoại vốn,"Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > - Thay đổi do thoại vốn",- Thay đổi do thoại vốn,-,-,-,-,2.160.000.000,-,-,-,-,-,2.160.000.000,,,,,2160000000.0,,,,,,2160000000.0
"- Phần lãi/lỗ) từ công ty liên doanh, liên kết","Phần chia lãi/lỗ) sau khi mua công ty liên doanh, liên kết: > - Phần lãi/lỗ) từ công ty liên doanh, liên kết","- Phần lãi/lỗ) từ công ty liên doanh, liên kết",328.762.427,15.182.229.188(2.740.315.361),(441.870.339),-,-,6.193.729.913,(604.069.934),(95.245.714),(4.595.435),-,20.558.940.106(2.740.315.361),328762427.0,,-441870339.0,,,6193729913.0,-604069934.0,-95245714.0,-4595435.0,,
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số cuối năm,- Giảm khác > Số cuối năm,Số cuối năm,(765.943.273),57.324.552.604,(4.950.941.843),-,-,6.193.729.913,(604.069.934),(95.245.714),(9.792.632),-,57.092.289.121,-765943273.0,57324552604.0,-4950941843.0,,,6193729913.0,-604069934.0,-95245714.0,-9792632.0,,57092289121.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,276.911.694.300,208.669.038.777,29.268.431.671,52.402.886.097,-,370.673.708.408,-,-,27.434.802.803,-,965.360.562.056,276911694300.0,208669038777.0,29268431671.0,52402886097.0,,370673708408.0,,,27434802803.0,,965360562056.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,277.240.456.727,221.110.952.604,28.826.561.332,54.562.886.097,-,376.867.438.321,190.645.930.066,76.404.754.286,27.430.207.368,202.370.000.000,1.455.459.186.801,277240456727.0,221110952604.0,28826561332.0,54562886097.0,,376867438321.0,190645930066.0,76404754286.0,27430207368.0,202370000000.0,1455459186801.0
