row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),656.546.072.961,656.546.072.961,296.174.758.935,(827.571.074.358),125.149.757.538,125.149.757.538,656546072961.0,656546072961.0,296174758935.0,-827571074358.0,125149757538.0,125149757538.0
Vay đối tượng khác(Thuyết minh số 20.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),34.900.000.000,34.900.000.000,49.411.010.000,-,84.311.010.000,84.311.010.000,34900000000.0,34900000000.0,49411010000.0,,84311010000.0,84311010000.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 20.2),381.118.418.342,381.118.418.342,817.984.322.109,(90.151.657.728),1.108.951.082.723,1.108.951.082.723,381118418342.0,381118418342.0,817984322109.0,-90151657728.0,1108951082723.0,1108951082723.0
Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 20.4),Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 20.4),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 20.4),199.690.177.585,199.690.177.585,577.466.530.750,(301.092.500.000),476.064.208.335,476.064.208.335,199690177585.0,199690177585.0,577466530750.0,-301092500000.0,476064208335.0,476064208335.0
,,,1.272.254.668.888,1.272.254.668.888,1.741.036.621.794,(1.218.815.232.086),1.794.476.058.596,1.794.476.058.596,1272254668888.0,1272254668888.0,1741036621794.0,-1218815232086.0,1794476058596.0,1794476058596.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.2),Vay ngân hàng(Thuyết minh số 20.2),1.292.195.978.570,1.292.195.978.570,676.764.181.678,(1.034.701.911.288),934.258.248.960,934.258.248.960,1292195978570.0,1292195978570.0,676764181678.0,-1034701911288.0,934258248960.0,934258248960.0
Trái phiếu phát hành(Thuyết minh số 20.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 20.4),Trái phiếu phát hành(Thuyết minh số 20.4),472.412.050.713,472.412.050.713,434.748.918.798,(484.959.459.804),422.201.509.707,422.201.509.707,472412050713.0,472412050713.0,434748918798.0,-484959459804.0,422201509707.0,422201509707.0
,,,1.764.608.029.283,1.764.608.029.283,1.111.513.100.476,(1.519.661.371.092),1.356.459.758.667,1.356.459.758.667,1764608029283.0,1764608029283.0,1111513100476.0,-1519661371092.0,1356459758667.0,1356459758667.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.036.862.698.171,3.036.862.698.171,2.852.549.722.270,(2.738.476.603.178),3.150.935.817.263,3.150.935.817.263,3036862698171.0,3036862698171.0,2852549722270.0,-2738476603178.0,3150935817263.0,3150935817263.0
