row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm và Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (*),Số cuối năm (VND) > 824.863.391.340,Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 8 năm 2020 đến tháng 8 năm 2022.,"Lãi suất/năm > Lãi suất đang áp dụng là từ 9,1%/năm - 9,5%/năm.",Hình thức đảm bảo > (iii),numeric__Số cuối năm (VND) > 824.863.391.340,numeric__Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 8 năm 2020 đến tháng 8 năm 2022.,"numeric__Lãi suất/năm > Lãi suất đang áp dụng là từ 9,1%/năm - 9,5%/năm.",numeric__Hình thức đảm bảo > (iii)
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),824.863.391.340,,,,824863391340.0,,,
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long (**),541.581.758.665,Gốc và lãi được thanh toán 6 tháng một lần từ tháng 11 năm 2021 đến tháng 11 năm 2023.,"Lãi suất đang áp dụng là từ 10,3%/năm – 10,8%/năm.",(iii),541581758665.0,,,
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,279.103.231.831,,,,279103231831.0,,,
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TNHH Indovina – Chi nhánh Thiên Long,205.025.942.203,Gốc được thanh toán hàng quý tại từng khế ước sau thời gian ăn hạn gốc kéo dài tới tháng 3 năm 2023. Lãi được thanh toán hàng quý.,"Lãi suất đang áp dụng là từ 9,8%/năm - 10,5%/năm.","(i),(iv)",205025942203.0,,,
Ngân hàng TMCP Quân Đội – chi nhánh Điện Biên Phủ,Ngân hàng TMCP Quân Đội – chi nhánh Điện Biên Phủ,Ngân hàng TMCP Quân Đội – chi nhánh Điện Biên Phủ,466.717.589.179,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 4 năm 2037. Lãi thanh toán 3 tháng 1 lần.,Lãi suất năm đầu tiên là 9%/năm. Lãi suất các kỳ tiếp theo bằng lãi suất tiết kiệm kỳ hạn 24 tháng trả lãi sau của bên cho vay cộng biển độ tối thiểu 3%/năm,(v),466717589179.0,,,
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,4.984.459.552,,,,4984459552.0,,,
Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,Trong đó: Vay dài hạn đến hạn trả Ngân hàng TMCP Việt Nam Thịnh Vương – Hội sở chính,5.020.650.296,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 12 năm 2023 đến tháng 12 năm 2025. Lãi thanh toán hàng tháng.,11%/năm,(vi),5020650296.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.043.209.331.683,,,,2043209331683.0,,,
Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,1.108.951.082.723,,,,1108951082723.0,,,
Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả Vay dài hạn,934.258.248.960,,,,934258248960.0,,,
