row_label_raw,row_label_full,Bên tư vấn phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam > Công ty Cổ phần Chứng khoán MB,Số cuối năm (VND) > 178.906.849.316 > 196.392.586.680 > 225.808.923.027 > 197.794.650.685 > 99.362.708.334,Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 7 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 12 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 11 năm 2022. Lãi được thanh toán 3 tháng một lần kể từ ngày phát hành.,"Lãi suất áp dụng năm nay > 10,5%/năm > 10,3%/năm > 10,5%/năm",Tài sản đảm bảo > 13.750.000 cổ phiếu phổ thông của Công ty. > (vii) > 14.875.000 cổ phiếu phổ thông của Công ty. > 7.500.000 cổ phiếu phổ thông của Công ty.,numeric__Số cuối năm (VND) > 178.906.849.316 > 196.392.586.680 > 225.808.923.027 > 197.794.650.685 > 99.362.708.334,numeric__Ngày đáo hạn > Gốc trái phiếu đáo hạn tháng 7 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 12 năm 2022. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 11 năm 2022. Lãi được thanh toán 3 tháng một lần kể từ ngày phát hành.,"numeric__Lãi suất áp dụng năm nay > 10,5%/năm > 10,3%/năm > 10,5%/năm",numeric__Tài sản đảm bảo > 13.750.000 cổ phiếu phổ thông của Công ty. > (vii) > 14.875.000 cổ phiếu phổ thông của Công ty. > 7.500.000 cổ phiếu phổ thông của Công ty.
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,898.265.718.042,,,,898265718042.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,476.064.208.335422.201.509.707,,,,4.760642083354222e+23,,,
