row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Ngày 1 tháng 1 năm 2020 > - Lợi nhuận thuần trong năm,Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.600.000.000.000 > -,Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quyền chọn chuyển đổi trái phiếu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > -,Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 15.177.859.740 > -,Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quỹ khác thuộc vốn chủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 7.588.929.869 > -,Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 851.463.063.516 > 300.922.029.670,Lợi ích cổ đông không kiểm soát > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 216.937.977.494 > 5.881.752.662,Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 2.691.167.830.619 > 306.803.782.332,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 1.600.000.000.000 > -,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quyền chọn chuyển đổi trái phiếu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > -,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 15.177.859.740 > -,numeric__Vốn chủ sở hữu thuộc cổ đông công ty mẹ > Quỹ khác thuộc vốn chủ sở hữu > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 7.588.929.869 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 851.463.063.516 > 300.922.029.670,numeric__Lợi ích cổ đông không kiểm soát > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 216.937.977.494 > 5.881.752.662,numeric__Đơn vị tính: VND > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 2.691.167.830.619 > 306.803.782.332
- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,399.999.000.000,-,-,-,(399.999.000.000),-,-,399999000000.0,,,,-399999000000.0,,
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(17.020.000.000),-,(17.020.000.000),,,,,-17020000000.0,,-17020000000.0
- Giảm do bán công ty con,- Giảm do bán công ty con,- Giảm do bán công ty con,-,-,-,-,-,(2.305.367.885),(2.305.367.885),,,,,,-2305367885.0,-2305367885.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,(20.421.769.419),(20.421.769.419),,,,,,-20421769419.0,-20421769419.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,1.999.999.000.000,-,15.177.859.740,7.588.929.869,735.366.093.186,200.092.592.852,2.958.224.475.647,1999999000000.0,,15177859740.0,7588929869.0,735366093186.0,200092592852.0,2958224475647.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,,,,
Ngày 1 tháng 1 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,1.999.999.000.000,-,15.177.859.740,7.588.929.869,735.366.093.186,200.092.592.852,2.958.224.475.647,1999999000000.0,,15177859740.0,7588929869.0,735366093186.0,200092592852.0,2958224475647.0
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,348.132.041.356,(3.982.077.468),344.149.963.888,,,,,348132041356.0,-3982077468.0,344149963888.0
- Phát hành cổ phiếu trả cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Phát hành cổ phiếu trả cổ tức (i),- Phát hành cổ phiếu trả cổ tức (i),199.998.800.000,-,-,-,(199.998.800.000),-,-,199998800000.0,,,,-199998800000.0,,
- Phát hành trái phiếu chuyển đổi (thuyết minh số 21),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > - Phát hành trái phiếu chuyển đổi (thuyết minh số 21),- Phát hành trái phiếu chuyển đổi (thuyết minh số 21),-,90.496.534.831,-,-,-,-,90.496.534.831,,90496534831.0,,,,,90496534831.0
