row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Phải thu từ chuyển nhượng bất động sản (*),Phải thu từ chuyển nhượng bất động sản (*),Phải thu từ chuyển nhượng bất động sản (*),359.028.208.908,626.453.539.733,359028208908.0,626453539733.0
- Khách hàng tổ chức,- Khách hàng tổ chức,- Khách hàng tổ chức,84.608.448.880,54.624.450.000,84608448880.0,54624450000.0
- Các khách hàng khác,- Các khách hàng khác,- Các khách hàng khác,274.419.760.028,571.829.089.733,274419760028.0,571829089733.0
"Phải thu UBND Thành phố Hồ Chí Minh tại dự án Đầu tư xây dựng đoạn tuyến kết nối từ đường Phạm Văn Đồng đến nút giao thông Gò Dưa – Quốc lộ 1, quận Thủ Đức","Phải thu UBND Thành phố Hồ Chí Minh tại dự án Đầu tư xây dựng đoạn tuyến kết nối từ đường Phạm Văn Đồng đến nút giao thông Gò Dưa – Quốc lộ 1, quận Thủ Đức","Phải thu UBND Thành phố Hồ Chí Minh tại dự án Đầu tư xây dựng đoạn tuyến kết nối từ đường Phạm Văn Đồng đến nút giao thông Gò Dưa – Quốc lộ 1, quận Thủ Đức",-,372.195.877.627,,372195877627.0
Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,Phải thu từ hoạt động khác,21.522.823.111,63.804.885.550,21522823111.0,63804885550.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,380.551.032.019,1.062.454.302.910,380551032019.0,1062454302910.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 30),-,1.013.577.742,,1013577742.0
Phải thu ngắn hạn từ các bên khác,Trong đó: > Phải thu ngắn hạn từ các bên khác,Phải thu ngắn hạn từ các bên khác,380.402.874.381,1.061.440.725.168,380402874381.0,1061440725168.0
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(29.421.028.757),(18.252.525.889),-29421028757.0,-18252525889.0
