row_label_raw,row_label_full,Số đầu năm > Vay trong năm,Năm nay > 2.424.226.044.834 > 869.563.228.800,VNDNăm trước > 2.247.140.767.296 > 1.770.707.653.787,numeric__Năm nay > 2.424.226.044.834 > 869.563.228.800,numeric__VNDNăm trước > 2.247.140.767.296 > 1.770.707.653.787
Trả nợ gốc vay,Trả nợ gốc vay,Trả nợ gốc vay,(1.268.861.569.600),(1.592.651.186.937),-1268861569600.0,-1592651186937.0
Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(9.993.557.851),(14.306.881.720),-9993557851.0,-14306881720.0
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,10.451.363.520,13.335.692.408,10451363520.0,13335692408.0
Số cuối năm,Số cuối năm,Số cuối năm,2.025.385.509.703,2.424.226.044.834,2025385509703.0,2424226044834.0
