row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Đất Xanh Đông Nam Bộ,Phải thu ngắn hạn của khách hàng > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Doanh thu dịch vụ BĐS,39.115.689.031,11.306.027.352,,,39115689031.0,11306027352.0
Ông Lương Trí Tú,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Doanh thu bản căn hộ,1.754.502.126,73.506.490,,,1754502126.0,73506490.0
Ông Lương Trí Thảo,Phải thu ngắn hạn của khách hàng > Ông Lương Trí Thảo,Ông Lương Trí Thảo,Thành viên Hội đồng quản trị,Doanh thu bán đất,1.661.122.641,-,,,1661122641.0,
Đất Xanh Miền Bắc,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu dịch vụ BĐS,926.728.340,31.762.112.977,,,926728340.0,31762112977.0
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Doanh thu dịch vụ BĐS,-,54.969.481.926,,,,54969481926.0
Đất Xanh Miền Trung,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Doanh thu dịch vụ BĐS,-,19.170.159.340,,,,19170159340.0
Đất Xanh Nam Trung Bộ,Phải thu ngắn hạn của khách hàng > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Công ty con,Doanh thu dịch vụ BĐS,-,106.586.380,,,,106586380.0
DXS,Phải thu ngắn hạn của khách hàng > DXS,DXS,Công ty con,Doanh thu dịch vụ BĐS,-,61.171.023,,,,61171023.0
"Công ty Cổ phần Đất Xanh Nam Bộ (""Đất Xanh Nam Bộ"")","Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đất Xanh Nam Bộ (""Đất Xanh Nam Bộ"")","Công ty Cổ phần Đất Xanh Nam Bộ (""Đất Xanh Nam Bộ"")",Công ty con,Doanh thu dịch vụ BĐS,-,6.600.000,,,,6600000.0
,,,,,43.458.042.138,117.455.645.488,,,43458042138.0,117455645488.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Riverview,Phải thu về cho vay > Riverview,Riverview,Công ty con,Cho vay,34.212.842.732,-,,,34212842732.0,
Đất Xanh Miền Bắc,Phải thu về cho vay > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cho vay,37.630.000.000,-,,,37630000000.0,
Hà Thuận Hùng,Phải thu về cho vay > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Cho vay,-,6.041.430.000,,,,6041430000.0
Nha Trang Petrol,Phải thu về cho vay > Nha Trang Petrol,Nha Trang Petrol,Bên liên quan,Cho vay,-,756.370.320,,,,756370320.0
,,,,,71.842.842.732,6.797.800.320,,,71842842732.0,6797800320.0
