row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
DXS,DXS,DXS,Công ty con,Góp vốn,1.615.020.000.000,1.303.594.480.000,,,1615020000000.0,1303594480000.0
DXS,DXS,DXS,Công ty con,Nhận vốn góp theo HĐHTKD,1.447.182.584.996,282.196.000.246,,,1447182584996.0,282196000246.0
DXS,DXS,DXS,Công ty con,Cổ tức,686.752.386.273,299.000.000.000,,,686752386273.0,299000000000.0
DXS,DXS,DXS,Công ty con,Doanh thu chuyển nhượng Đất Xanh Miền Trung,,- 231.495.000.000,,,,-231495000000.0
DXS,DXS,DXS,Công ty con,Doanh thu chuyển nhượng Đất Xanh Miền Bắc,,- 196.014.100.009,,,,-196014100009.0
DXS,DXS,DXS,Công ty con,Cho vay,,- 99.118.276.154,,,,-99118276154.0
DXS,DXS,DXS,Công ty con,Doanh thu chuyển nhượng Đất Xanh Miền Nam,,- 78.846.000.000,,,,-78846000000.0
DXS,DXS,DXS,Công ty con,Doanh thu chuyển nhượng Đất Xanh Đông Nam Bộ,,- 33.022.500.000,,,,-33022500000.0
DXS,DXS,DXS,Công ty con,Doanh thu chuyển nhượng Đất Xanh Tây Nam Bộ,,- 11.981.359.991,,,,-11981359991.0
DXS,DXS,DXS,Công ty con,Lãi cho vay,,- 262.011.639,,,,-262011639.0
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Nhận vốn góp theo HĐHTKD,138.931.060.000,-,,,138931060000.0,
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Doanh thu dịch vụ BĐS,868.319.096,17.427.417.583,,,868319096.0,17427417583.0
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Cổ tức,,80.580.000.000,,,,80580000000.0
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Góp vốn,,- 76.285.000.000,,,,-76285000000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Vốn góp theo HĐHTKD,280.993.136.972,112.390.736.000,,,280993136972.0,112390736000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu khác,24.061.688.000,-,,,24061688000.0,
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu dịch vụ BĐS,23.798.562.735,65.751.377.029,,,23798562735.0,65751377029.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tức,,- 90.870.000.000,,,,-90870000000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Góp vốn,,- 62.985.000.000,,,,-62985000000.0
