row_label_raw,row_label_full,col_0,Phương tiênvận tải,Thiết bịvăn phòng,Tài sảncó định khác,VNDTổng cộng,numeric__Phương tiênvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sảncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,12.460.018.661,6.056.297.969,688.630.584,19.204.947.214,12460018661.0,6056297969.0,688630584.0,19204947214.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,6.140.083.637,3.345.702.637,276.863.636,9.762.649.910,6140083637.0,3345702637.0,276863636.0,9762649910.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,18.600.102.298,9.402.000.606,965.494.220,28.967.597.124,18600102298.0,9402000606.0,965494220.0,28967597124.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,5.014.936.842,790.294.770,-,5.805.231.612,5014936842.0,790294770.0,,5805231612.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(8.033.780.898),(2.798.366.531),(329.308.465),(11.161.455.894),-8033780898.0,-2798366531.0,-329308465.0,-11161455894.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.959.120.612),(1.935.843.363),(252.796.815),(4.147.760.790),-1959120612.0,-1935843363.0,-252796815.0,-4147760790.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(9.992.901.510),(4.734.209.894),(582.105.280),(15.309.216.684),-9992901510.0,-4734209894.0,-582105280.0,-15309216684.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,4.426.237.763,3.257.931.438,359.322.119,8.043.491.320,4426237763.0,3257931438.0,359322119.0,8043491320.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,8.607.200.788,4.667.790.712,383.388.940,13.658.380.440,8607200788.0,4667790712.0,383388940.0,13658380440.0
