row_label_raw,row_label_full,Bên liên quan > Đất Xanh Miền Nam,Môi quan hệ > Công ty con,Nội dung nghiệp vụ > Nhận vốn góp theo HĐHTKD > Doanh thu dịch vụ BĐS > Cổ tức > Góp vốn > Nhận ký quỹ,Năm nay > 123.483.384.428 > 931.319.949 > -,VNDNăm trước > 7.366.596.913 > 23.347.699.725 > 59.240.000.000 > 52.326.000.000 > 5.360.000.000,numeric__Môi quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Nhận vốn góp theo HĐHTKD > Doanh thu dịch vụ BĐS > Cổ tức > Góp vốn > Nhận ký quỹ,numeric__Năm nay > 123.483.384.428 > 931.319.949 > -,numeric__VNDNăm trước > 7.366.596.913 > 23.347.699.725 > 59.240.000.000 > 52.326.000.000 > 5.360.000.000
Saigon Riverview,Saigon Riverview,Saigon Riverview,Công ty con,Góp vốn,29.924.404.015,132.277.298.190,,,29924404015.0,132277298190.0
Saigon Riverview,Saigon Riverview,Saigon Riverview,Công ty con,Cho vay,34.212.842.732,-,,,34212842732.0,
Saigon Riverview,Saigon Riverview,Saigon Riverview,Công ty con,Lãi cho vay,451.159.120,-,,,451159120.0,
Vicco Saigon,Vicco Saigon,Vicco Saigon,Công ty con,Góp vốn,29.781.670.097,73.264.978.501,,,29781670097.0,73264978501.0
Vicco Saigon,Vicco Saigon,Vicco Saigon,Công ty con,Thuế văn phòng,11.547.316.260,-,,,11547316260.0,
Vicco Saigon,Vicco Saigon,Vicco Saigon,Công ty con,Ký quỹ,2.566.070.280,-,,,2566070280.0,
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Doanh thu dịch vụ BĐS,25.281.510.617,-,,,25281510617.0,
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Cổ tức,-,26.060.000.000,,,,26060000000.0
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Góp vốn,-,21.802.500.000,,,,21802500000.0
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Nhận vốn góp theo HĐHTKD,-,15.343.364.000,,,,15343364000.0
Đất Xanh Nam Trung Bo,Đất Xanh Nam Trung Bo,Đất Xanh Nam Trung Bo,Công ty con,Vốn góp theo HĐHTKD,80.565.273.600,26.347.910.400,,,80565273600.0,26347910400.0
Đất Xanh Nam Trung Bo,Đất Xanh Nam Trung Bo,Đất Xanh Nam Trung Bo,Công ty con,Doanh thu dịch vụ BĐS,14.399.543.636,300.281.819,,,14399543636.0,300281819.0
Đất Xanh Đầu tư Bất động sản,Đất Xanh Đầu tư Bất động sản,Đất Xanh Đầu tư Bất động sản,Công ty con,Góp vốn,-,26.537.766.576,,,,26537766576.0
Thăng Long Petrol,Thăng Long Petrol,Thăng Long Petrol,Công ty con,Cho vay,-,21.127.656.549,,,,21127656549.0
Thăng Long Petrol,Thăng Long Petrol,Thăng Long Petrol,Công ty con,Lãi từ cho vay,-,944.001.687,,,,944001687.0
Xây dựng FBV,Xây dựng FBV,Xây dựng FBV,Công ty con,Doanh thu khác,500.000.000,-,,,500000000.0,
Xây dựng FBV,Xây dựng FBV,Xây dựng FBV,Công ty con,Doanh thu bán bất động sản đầu tư,-,11.825.336.613,,,,11825336613.0
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Góp vốn,-,60.000.000.000,,,,60000000000.0
