row_label_raw,row_label_full,col_0,Phân mêm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Phân mêm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,5.198.944.917,657.166.005,310.734.600,6.166.845.522,5198944917.0,657166005.0,310734600.0,6166845522.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.540.634.517,-,-,1.540.634.517,1540634517.0,,,1540634517.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,6.739.579.434,657.166.005,310.734.600,7.707.480.039,6739579434.0,657166005.0,310734600.0,7707480039.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,701.917.309,442.166.005,310.734.600,1.454.817.914,701917309.0,442166005.0,310734600.0,1454817914.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,(2.167.742.735),(580.916.003),(285.322.098),(3.033.980.836),-2167742735.0,-580916003.0,-285322098.0,-3033980836.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.052.699.515),(61.250.002),(25.412.502),(1.139.362.019),-1052699515.0,-61250002.0,-25412502.0,-1139362019.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,(3.220.442.250),(642.166.005),(310.734.600),(4.173.342.855),-3220442250.0,-642166005.0,-310734600.0,-4173342855.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,3.031.202.182,76.250.002,25.412.502,3.132.864.686,3031202182.0,76250002.0,25412502.0,3132864686.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,3.519.137.184,15.000.000,-,3.534.137.184,3519137184.0,15000000.0,,3534137184.0
