row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Xây dựng FBV,Phải trả người bán ngắn hạn > Xây dựng FBV,Xây dựng FBV,Công ty con,Dịch vụ xây dựng,-,8.927.629.724,,,,8927629724.0
Đất Xanh Đông Nam Bộ,Phải trả người bán ngắn hạn > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Dịch vụ,1.273.321.716,1.273.321.716,,,1273321716.0,1273321716.0
,,,,,1.273.321.716,10.200.951.440,,,1273321716.0,10200951440.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Đất Xanh Hội An,Phải trả khác > Đất Xanh Hội An,Đất Xanh Hội An,Công ty con,Vốn nhận tử HDHTKD,997.000.000.000,997.000.000.000,,,997000000000.0,997000000000.0
Saigon Riverside,Phải trả khác > Saigon Riverside,Saigon Riverside,Công ty con,Vốn nhận tử HDHTKD,382.700.642.030,383.393.275.000,,,382700642030.0,383393275000.0
DXS,Phải trả khác > DXS,DXS,Công ty con,Vốn nhận tử HDHTKDThu hộ tiền dự án,376.932.859.3502.442.444.030,191.911.150.2462.608.841.696,,,3.7693285935024424e+21,1.9191115024626087e+21
Hà An,Phải trả khác > Hà An,Hà An,Công ty con,Ứng trước mua cổ phần Xuân Định,245.000.000.000,-,,,245000000000.0,
Xuân Định,Phải trả khác > Xuân Định,Xuân Định,Công ty con,Vốn nhận tử HDHTKD,131.370.646.990,132.000.000.000,,,131370646990.0,132000000000.0
Thăng Long Petrol,Phải trả khác > Thăng Long Petrol,Thăng Long Petrol,Công ty con,Vốn nhận tử HDHTKD,113.756.220.930,138.500.000.000,,,113756220930.0,138500000000.0
Vidoland,Phải trả khác > Vidoland,Vidoland,Công ty con,Vốn nhận tử HDHTKD,122.876.039.416,124.502.906.277,,,122876039416.0,124502906277.0
In Nông Nghiệp,Phải trả khác > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Vốn nhận tử HDHTKD,74.847.483.696,75.500.000.000,,,74847483696.0,75500000000.0
LDG,Phải trả khác > LDG,LDG,Công ty con,Đặt cọc,22.078.247.014,35.000.000,,,22078247014.0,35000000.0
Đất Xanh Miền Nam,Phải trả khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Vốn nhận tử HDHTKDDhu hộ tiền dự án,7.366.596.913417.147.545,7.783.744.458-,,,7.366596913417147e+18,
Hà Thuận Hùng,Phải trả khác > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Thu hộ tiền dự án,2.894.625.164,2.163.899.446,,,2894625164.0,2163899446.0
Ông Lương Trì Thảo,Phải trả khác > Ông Lương Trì Thảo,Ông Lương Trì Thảo,Cổ đông,Doanh thu bán căn hộ,418.284.000,552.459.000,,,418284000.0,552459000.0
Đất Xanh Đông Nam Bộ,Phải trả khác > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Nhận ký quỹ,50.000.000,-,,,50000000.0,
Đất Xanh Miền Bắc,Phải trả khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận ký quỹ,50.000.000,-,,,50000000.0,
Ông Lương Trì Thìn,Phải trả khác > Ông Lương Trì Thìn,Ông Lương Trì Thìn,Cổ đông,Doanh thu bán căn hộ,42.000.000,42.000.000,,,42000000.0,42000000.0
Ông Lương Trí Tù,Phải trả khác > Ông Lương Trí Tù,Ông Lương Trí Tù,Cổ đông,Doanh thu bán căn hộ,-,26.981.680,,,,26981680.0
,,,,,2.480.243.237.078,2.056.020.257.803,,,2480243237078.0,2056020257803.0
