row_label_raw,row_label_full,Bên vay,Ngày 31 tháng 12năm 2019VND,Lãi suất,Hình thứcđảm bảo,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Lãi suất,numeric__Hình thứcđảm bảo
Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,1.254.934.820,từ 5% đến 10%,Tín chấp,1254934820.0,,
"Công ty Cổ phần Dịch vụvà Địa ốc Đất XanhMiền Bắc (""Đất XanhMiền Bắc"")","Công ty Cổ phần Dịch vụvà Địa ốc Đất XanhMiền Bắc (""Đất XanhMiền Bắc"")","Công ty Cổ phần Dịch vụvà Địa ốc Đất XanhMiền Bắc (""Đất XanhMiền Bắc"")",37.630.000.000,từ 10% đến 15%,Tín chấp,37630000000.0,,
"Công ty Cổ phầnSải Gòn Riverview(""Saigon Riverview"")","Công ty Cổ phầnSải Gòn Riverview(""Saigon Riverview"")","Công ty Cổ phầnSải Gòn Riverview(""Saigon Riverview"")",34.212.842.732,8%,Tín chấp,34212842732.0,0.08,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,73.097.777.552,,,73097777552.0,,
