row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,
Số dư đầu năm,Nguyên giả: > Số dư đầu năm,Số dư đầu năm,39.573.619.596,39573619596.0
Kết chuyển từ hàng tồn kho,Nguyên giả: > Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,8.440.043.773,8440043773.0
Mua trong năm,Nguyên giả: > Mua trong năm,Mua trong năm,31.454.545.455,31454545455.0
Bán,Nguyên giả: > Bán,Bán,(1.895.775.566),-1895775566.0
Số dư cuối năm,Nguyên giả: > Số dư cuối năm,Số dư cuối năm,77.572.433.258,77572433258.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số dư đầu năm,Giá trị khấu hao lũy kế: > Số dư đầu năm,Số dư đầu năm,(1.905.034.344),-1905034344.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.502.547.519),-1502547519.0
Bán,Giá trị khấu hao lũy kế: > Bán,Bán,107.982.577,107982577.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,(3.299.599.286),-3299599286.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,37.668.585.252,37668585252.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,74.272.833.972,74272833972.0
