row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng công,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng công
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),21.538.709.553,205.776.177.346,3.267.609.167.705,3031926860000.0,10867980806.0,-2500560000.0,21538709553.0,205776177346.0,3267609167705.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động,Chương trình lựa chọn cho người lao động,75.000.000.000,-,-,-,-,75.000.000.000,75000000000.0,,,,,75000000000.0
Cổ tức bằng cổ phiếu,Phát hành cổ phiếu theo > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,393.787.260.000,-,-,-,(393.787.260.000),-,393787260000.0,,,,-393787260000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,931.441.400.299,931.441.400.299,,,,,931441400299.0,931441400299.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,7.508.907.455,(7.508.907.455),-,,,,7508907455.0,-7508907455.0,
"Trích quỹ khen thưởng,phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(32.704.871.467),(32.704.871.467),,,,,-32704871467.0,-32704871467.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),29.047.617.008,703.216.538.723,4.241.345.696.537,3500714120000.0,10867980806.0,-2500560000.0,29047617008.0,703216538723.0,4241345696537.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),29.047.617.008,703.216.538.723,4.241.345.696.537,3500714120000.0,10867980806.0,-2500560000.0,29047617008.0,703216538723.0,4241345696537.0
Phát hành cổ phiếu cho cổ đông hiện hữu (*),Năm nay > Phát hành cổ phiếu cho cổ đông hiện hữu (*),Phát hành cổ phiếu cho cổ đông hiện hữu (*),874.553.390.000,(190.000.000),-,-,-,874.363.390.000,874553390000.0,-190000000.0,,,,874363390000.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động (*),Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động (*),Chương trình lựa chọn cho người lao động (*),55.520.000.000,-,-,-,(55.520.000.000),-,55520000000.0,,,,-55520000000.0,
Cổ tức bằng cổ phiếu (*),Phát hành cổ phiếu theo > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),769.559.160.000,-,-,-,(769.559.160.000),-,769559160000.0,,,,-769559160000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,906.696.885.293,906.696.885.293,,,,,906696885293.0,906696885293.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.568.539.705,(23.568.539.705),-,,,,23568539705.0,-23568539705.0,
"Trích quỹ khen thưởng,phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(35.352.809.558),(35.352.809.558),,,,,-35352809558.0,-35352809558.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),52.616.156.713,725.912.914.753,5.987.053.162.272,5200346670000.0,10677980806.0,-2500560000.0,52616156713.0,725912914753.0,5987053162272.0
